case,family_id,tool,tool_chain,command,params_json,attempts,equivalent_count,new_pareto_count,timeout_count,failure_count,best_delta_adp,best_delta_area,best_delta_delay,recent_attempts,recent_new_pareto_count,recent_success_rate
ex200,alt02,abc,abc_compress2,compress2,{},2,2,0,0,0,-416,-26,0,2,0,0.000
ex200,alt02,abc,abc_compress2rs,compress2rs,{},2,2,0,0,0,-928,-58,0,2,0,0.000
ex200,alt02,abc,abc_dc2,dc2,{},1,1,0,0,0,-4429,-44,-1,1,0,0.000
ex200,alt02,abc,abc_dc2_dch,dc2_dch,{},2,2,0,0,0,-720,-45,0,2,0,0.000
ex200,alt02,abc,abc_dch,dch,{},1,1,0,0,0,-4573,-53,-1,1,0,0.000
ex200,alt02,abc,abc_dch_bal_rw,dch_bal_rw,{},2,2,0,0,0,-512,-32,0,2,0,0.000
ex200,alt02,abc,abc_dch_dc2,dch_dc2,{},2,2,0,0,0,-624,-39,0,2,0,0.000
ex200,alt02,abc,abc_resyn,resyn,{},1,1,0,0,0,-4157,-27,-1,1,0,0.000
ex200,alt02,abc,abc_resyn2,resyn2,{},1,1,0,0,0,-4333,-38,-1,1,0,0.000
ex200,alt02,abc,abc_resyn2a,resyn2a,{},1,1,0,0,0,-4141,-26,-1,1,0,0.000
ex200,alt02,abc,abc_resyn2rs,resyn2rs,{},2,2,0,0,0,-848,-53,0,2,0,0.000
ex200,alt02,abc,abc_resyn3,resyn3,{},2,2,0,0,0,-304,-19,0,2,0,0.000
ex200,alt02,abc9,abc9_syn2_dc2,abc9_syn2_dc2,{},3,3,0,0,0,8570,1068,-2,3,0,0.000
ex200,alt02,seed,seed,seed,{},1,1,0,0,0,,,,1,0,0.000
ex200,alt03,abc,abc_bal_rw,bal_rw,{},1,1,0,0,0,-7707,-17,-2,1,0,0.000
ex200,alt03,abc,abc_compress2,compress2,{},21,21,0,0,0,-240,-29,0,21,0,0.000
ex200,alt03,abc,abc_compress2rs,compress2rs,{},21,21,0,0,0,-704,-74,0,21,0,0.000
ex200,alt03,abc,abc_dc2,dc2,{},1,1,0,0,0,-4462,-46,-1,1,0,0.000
ex200,alt03,abc,abc_dc2_dch,dc2_dch,{},21,21,3,0,0,-1035,-69,0,21,3,0.143
ex200,alt03,abc,abc_dch,dch,{},1,1,1,0,0,-8292,-56,-2,1,1,1.000
ex200,alt03,abc,abc_dch_bal_rw,dch_bal_rw,{},21,21,0,0,0,-720,-48,0,21,0,0.000
ex200,alt03,abc,abc_dch_dc2,dch_dc2,{},21,21,0,0,0,-784,-72,0,21,0,0.000
ex200,alt03,abc,abc_resyn,resyn,{},1,1,0,0,0,-7752,-20,-2,1,0,0.000
ex200,alt03,abc,abc_resyn2,resyn2,{},1,1,0,0,0,-7887,-29,-2,1,0,0.000
ex200,alt03,abc,abc_resyn2a,resyn2a,{},1,1,0,0,0,-7872,-28,-2,1,0,0.000
ex200,alt03,abc,abc_resyn2rs,resyn2rs,{},21,21,0,0,0,-840,-56,0,21,0,0.000
ex200,alt03,abc,abc_resyn3,resyn3,{},21,21,0,0,0,-450,-30,0,21,0,0.000
ex200,alt03,abc9,abc9_syn2_dc2,abc9_syn2_dc2,{},22,22,0,0,0,7683,986,-2,22,0,0.000
ex200,alt03,culs,culs_resyn2,resyn2,{},16,16,1,0,0,3411,-11,1,16,1,0.062
ex200,alt03,mockturtle,mockturtle_balance,balance,"{""flow"": ""balance""}",42,42,0,0,0,-15,-1,0,42,0,0.000
ex200,alt03,mockturtle,mockturtle_balance_resub,balance_resub,"{""flow"": ""balance_resub""}",42,42,2,0,0,-165,-13,0,42,2,0.048
ex200,alt03,mockturtle,mockturtle_resub,resub,"{""flow"": ""resub""}",42,42,0,0,0,-180,-13,0,42,0,0.000
ex200,alt03,mockturtle,mockturtle_resub_balance,resub_balance,"{""flow"": ""resub_balance""}",42,42,1,0,0,-210,-14,0,42,1,0.024
ex200,alt03,seed,seed,seed,{},1,1,0,0,0,,,,1,0,0.000
ex200,alt04,abc,abc_bal_rw,bal_rw,{},1,1,0,0,0,-4352,-39,-1,1,0,0.000
ex200,alt04,abc,abc_compress2,compress2,{},5,5,0,0,0,-384,-24,0,5,0,0.000
ex200,alt04,abc,abc_compress2rs,compress2rs,{},5,5,1,0,0,-944,-59,0,5,1,0.200
ex200,alt04,abc,abc_dc2,dc2,{},1,1,0,0,0,-4784,-66,-1,1,0,0.000
ex200,alt04,abc,abc_dc2_dch,dc2_dch,{},5,5,0,0,0,-1072,-67,0,5,0,0.000
ex200,alt04,abc,abc_dch,dch,{},1,1,0,0,0,-4816,-68,-1,1,0,0.000
ex200,alt04,abc,abc_dch_bal_rw,dch_bal_rw,{},5,5,0,0,0,-672,-42,0,5,0,0.000
ex200,alt04,abc,abc_dch_dc2,dch_dc2,{},5,5,0,0,0,-1024,-64,0,5,0,0.000
ex200,alt04,abc,abc_resyn,resyn,{},1,1,0,0,0,-4480,-47,-1,1,0,0.000
ex200,alt04,abc,abc_resyn2,resyn2,{},1,1,0,0,0,-4560,-52,-1,1,0,0.000
ex200,alt04,abc,abc_resyn2a,resyn2a,{},1,1,0,0,0,-4416,-43,-1,1,0,0.000
ex200,alt04,abc,abc_resyn2rs,resyn2rs,{},5,5,0,0,0,-784,-49,0,5,0,0.000
ex200,alt04,abc,abc_resyn3,resyn3,{},5,5,0,0,0,-320,-20,0,5,0,0.000
ex200,alt04,abc9,abc9_syn2_dc2,abc9_syn2_dc2,{},6,6,0,0,0,7964,1028,-2,6,0,0.000
ex200,alt04,seed,seed,seed,{},1,1,0,0,0,,,,1,0,0.000
ex201,current,abc,abc_bal_rw,bal_rw,{},1,1,0,0,0,-266,-19,0,1,0,0.000
ex201,current,abc,abc_compress2,compress2,{},7,7,0,0,0,-196,-14,0,7,0,0.000
ex201,current,abc,abc_compress2rs,compress2rs,{},7,7,0,0,0,-364,-63,0,7,0,0.000
ex201,current,abc,abc_dc2,dc2,{},1,1,0,0,0,-504,-36,0,1,0,0.000
ex201,current,abc,abc_dc2_dch,dc2_dch,{},7,7,0,0,0,-434,-31,0,7,0,0.000
ex201,current,abc,abc_dch,dch,{},1,1,0,0,0,-448,-32,0,1,0,0.000
ex201,current,abc,abc_dch_bal_rw,dch_bal_rw,{},7,7,0,0,0,-350,-25,0,7,0,0.000
ex201,current,abc,abc_dch_dc2,dch_dc2,{},7,7,0,0,0,-420,-30,0,7,0,0.000
ex201,current,abc,abc_resyn,resyn,{},1,1,0,0,0,-364,-26,0,1,0,0.000
ex201,current,abc,abc_resyn2,resyn2,{},1,1,0,0,0,-364,-26,0,1,0,0.000
ex201,current,abc,abc_resyn2a,resyn2a,{},1,1,0,0,0,-336,-24,0,1,0,0.000
ex201,current,abc,abc_resyn2rs,resyn2rs,{},7,7,0,0,0,-756,-54,0,7,0,0.000
ex201,current,abc,abc_resyn3,resyn3,{},7,7,0,0,0,-266,-19,0,7,0,0.000
ex201,current,abc9,abc9_syn2_dc2,abc9_syn2_dc2,{},8,8,0,0,0,4214,301,0,8,0,0.000
ex201,current,seed,seed,seed,{},1,1,0,0,0,,,,1,0,0.000
ex201,alt01,abc,abc_bal_rw,bal_rw,{},1,1,0,0,0,-322,-23,0,1,0,0.000
ex201,alt01,abc,abc_compress2,compress2,{},1,1,0,0,0,-154,-11,0,1,0,0.000
ex201,alt01,abc,abc_compress2rs,compress2rs,{},1,1,0,0,0,2528,-44,2,1,0,0.000
ex201,alt01,abc,abc_dc2,dc2,{},1,1,0,0,0,-462,-33,0,1,0,0.000
ex201,alt01,abc,abc_dc2_dch,dc2_dch,{},1,1,0,0,0,-252,-18,0,1,0,0.000
ex201,alt01,abc,abc_dch,dch,{},1,1,0,0,0,-546,-39,0,1,0,0.000
ex201,alt01,abc,abc_dch_bal_rw,dch_bal_rw,{},1,1,0,0,0,-140,-10,0,1,0,0.000
ex201,alt01,abc,abc_dch_dc2,dch_dc2,{},1,1,0,0,0,-140,-10,0,1,0,0.000
ex201,alt01,abc,abc_resyn,resyn,{},1,1,0,0,0,-364,-26,0,1,0,0.000
ex201,alt01,abc,abc_resyn2,resyn2,{},1,1,0,0,0,-420,-30,0,1,0,0.000
ex201,alt01,abc,abc_resyn2a,resyn2a,{},1,1,0,0,0,-392,-28,0,1,0,0.000
ex201,alt01,abc,abc_resyn2rs,resyn2rs,{},1,1,0,0,0,-574,-41,0,1,0,0.000
ex201,alt01,abc,abc_resyn3,resyn3,{},1,1,0,0,0,-196,-14,0,1,0,0.000
ex201,alt01,abc9,abc9_syn2_dc2,abc9_syn2_dc2,{},2,2,0,0,0,3934,281,0,2,0,0.000
ex201,alt01,seed,seed,seed,{},1,1,0,0,0,,,,1,0,0.000
ex201,alt02,abc,abc_bal_rw,bal_rw,{},1,1,0,0,0,-1788,-12,-1,1,0,0.000
ex201,alt02,abc,abc_compress2,compress2,{},16,16,0,0,0,-294,-21,0,16,0,0.000
ex201,alt02,abc,abc_compress2rs,compress2rs,{},16,16,4,0,0,-980,-78,0,16,4,0.250
ex201,alt02,abc,abc_dc2,dc2,{},1,1,0,0,0,-1928,-22,-1,1,0,0.000
ex201,alt02,abc,abc_dc2_dch,dc2_dch,{},16,16,0,0,0,-406,-29,0,16,0,0.000
ex201,alt02,abc,abc_dch,dch,{},1,1,1,0,0,-2012,-28,-1,1,1,1.000
ex201,alt02,abc,abc_dch_bal_rw,dch_bal_rw,{},16,16,0,0,0,-308,-22,0,16,0,0.000
ex201,alt02,abc,abc_dch_dc2,dch_dc2,{},16,16,0,0,0,-462,-33,0,16,0,0.000
ex201,alt02,abc,abc_resyn,resyn,{},1,1,0,0,0,-1858,-17,-1,1,0,0.000
ex201,alt02,abc,abc_resyn2,resyn2,{},1,1,0,0,0,-1900,-20,-1,1,0,0.000
ex201,alt02,abc,abc_resyn2a,resyn2a,{},1,1,0,0,0,-1844,-16,-1,1,0,0.000
ex201,alt02,abc,abc_resyn2rs,resyn2rs,{},16,16,1,0,0,-882,-63,0,16,1,0.062
ex201,alt02,abc,abc_resyn3,resyn3,{},16,16,0,0,0,-378,-27,0,16,0,0.000
ex201,alt02,abc9,abc9_syn2_dc2,abc9_syn2_dc2,{},17,17,0,0,0,2566,281,-1,17,0,0.000
ex201,alt02,culs,culs_resyn2,resyn2,{},38,38,3,0,0,-112,-8,0,38,3,0.079
ex201,alt02,mockturtle,mockturtle_balance,balance,"{""flow"": ""balance""}",40,40,3,0,0,-28,-2,0,40,3,0.075
ex201,alt02,mockturtle,mockturtle_balance_resub,balance_resub,"{""flow"": ""balance_resub""}",40,40,8,0,0,-70,-6,0,40,8,0.200
ex201,alt02,mockturtle,mockturtle_resub,resub,"{""flow"": ""resub""}",40,40,1,0,0,-42,-6,0,40,1,0.025
ex201,alt02,mockturtle,mockturtle_resub_balance,resub_balance,"{""flow"": ""resub_balance""}",40,40,7,0,0,-98,-7,0,40,7,0.175
ex201,alt02,seed,seed,seed,{},1,1,0,0,0,,,,1,0,0.000
ex201,alt03,abc,abc_bal_rw,bal_rw,{},1,1,0,0,0,-1685,-4,-1,1,0,0.000
ex201,alt03,abc,abc_compress2,compress2,{},8,8,0,0,0,0,-9,0,8,0,0.000
ex201,alt03,abc,abc_compress2rs,compress2rs,{},8,8,0,0,0,2934,-68,2,8,0,0.000
ex201,alt03,abc,abc_dc2,dc2,{},1,1,0,0,0,-2049,-30,-1,1,0,0.000
ex201,alt03,abc,abc_dc2_dch,dc2_dch,{},8,8,0,0,0,-476,-34,0,8,0,0.000
ex201,alt03,abc,abc_dch,dch,{},1,1,0,0,0,-2035,-29,-1,1,0,0.000
ex201,alt03,abc,abc_dch_bal_rw,dch_bal_rw,{},8,8,0,0,0,-280,-20,0,8,0,0.000
ex201,alt03,abc,abc_dch_dc2,dch_dc2,{},8,8,0,0,0,-364,-31,0,8,0,0.000
ex201,alt03,abc,abc_resyn,resyn,{},1,1,0,0,0,-1769,-10,-1,1,0,0.000
ex201,alt03,abc,abc_resyn2,resyn2,{},1,1,0,0,0,-1811,-13,-1,1,0,0.000
ex201,alt03,abc,abc_resyn2a,resyn2a,{},1,1,0,0,0,-1769,-10,-1,1,0,0.000
ex201,alt03,abc,abc_resyn2rs,resyn2rs,{},8,8,0,0,0,-728,-52,0,8,0,0.000
ex201,alt03,abc,abc_resyn3,resyn3,{},8,8,0,0,0,-308,-22,0,8,0,0.000
ex201,alt03,abc9,abc9_syn2_dc2,abc9_syn2_dc2,{},9,9,0,0,0,1829,247,-1,9,0,0.000
ex201,alt03,seed,seed,seed,{},1,1,0,0,0,,,,1,0,0.000
ex202,current,abc,abc_bal_rw,bal_rw,{},1,1,0,0,0,-3748,-18,-1,1,0,0.000
ex202,current,abc,abc_compress2,compress2,{},9,9,0,0,0,-255,-17,0,9,0,0.000
ex202,current,abc,abc_compress2rs,compress2rs,{},9,9,0,0,0,-705,-58,0,9,0,0.000
ex202,current,abc,abc_dc2,dc2,{},1,1,0,0,0,-4063,-39,-1,1,0,0.000
ex202,current,abc,abc_dc2_dch,dc2_dch,{},9,9,0,0,0,-630,-42,0,9,0,0.000
ex202,current,abc,abc_dch,dch,{},1,1,0,0,0,-4153,-45,-1,1,0,0.000
ex202,current,abc,abc_dch_bal_rw,dch_bal_rw,{},9,9,0,0,0,-480,-32,0,9,0,0.000
ex202,current,abc,abc_dch_dc2,dch_dc2,{},9,9,0,0,0,-600,-40,0,9,0,0.000
ex202,current,abc,abc_resyn,resyn,{},1,1,0,0,0,-3853,-25,-1,1,0,0.000
ex202,current,abc,abc_resyn2,resyn2,{},1,1,0,0,0,-3853,-25,-1,1,0,0.000
ex202,current,abc,abc_resyn2a,resyn2a,{},1,1,0,0,0,-3868,-26,-1,1,0,0.000
ex202,current,abc,abc_resyn2rs,resyn2rs,{},9,9,0,0,0,-870,-58,0,9,0,0.000
ex202,current,abc,abc_resyn3,resyn3,{},9,9,0,0,0,-405,-27,0,9,0,0.000
ex202,current,abc9,abc9_syn2_dc2,abc9_syn2_dc2,{},10,10,0,0,0,11567,874,-1,10,0,0.000
ex202,current,mockturtle,mockturtle_balance,balance,"{""flow"": ""balance""}",1,1,0,0,0,0,0,0,1,0,0.000
ex202,current,mockturtle,mockturtle_balance_resub,balance_resub,"{""flow"": ""balance_resub""}",1,1,0,0,0,-75,-5,0,1,0,0.000
ex202,current,mockturtle,mockturtle_resub,resub,"{""flow"": ""resub""}",1,1,0,0,0,-75,-5,0,1,0,0.000
ex202,current,mockturtle,mockturtle_resub_balance,resub_balance,"{""flow"": ""resub_balance""}",1,1,0,0,0,-75,-5,0,1,0,0.000
ex202,current,seed,seed,seed,{},1,1,0,0,0,,,,1,0,0.000
ex202,alt01,abc,abc_bal_rw,bal_rw,{},1,1,0,0,0,-3698,-14,-1,1,0,0.000
ex202,alt01,abc,abc_compress2,compress2,{},6,6,0,0,0,-270,-18,0,6,0,0.000
ex202,alt01,abc,abc_compress2rs,compress2rs,{},6,6,0,0,0,-825,-55,0,6,0,0.000
ex202,alt01,abc,abc_dc2,dc2,{},1,1,0,0,0,-3998,-34,-1,1,0,0.000
ex202,alt01,abc,abc_dc2_dch,dc2_dch,{},6,6,0,0,0,-495,-33,0,6,0,0.000
ex202,alt01,abc,abc_dch,dch,{},1,1,0,0,0,-4073,-39,-1,1,0,0.000
ex202,alt01,abc,abc_dch_bal_rw,dch_bal_rw,{},6,6,0,0,0,-405,-27,0,6,0,0.000
ex202,alt01,abc,abc_dch_dc2,dch_dc2,{},6,6,0,0,0,-480,-32,0,6,0,0.000
ex202,alt01,abc,abc_resyn,resyn,{},1,1,0,0,0,-3758,-18,-1,1,0,0.000
ex202,alt01,abc,abc_resyn2,resyn2,{},1,1,0,0,0,-3938,-30,-1,1,0,0.000
ex202,alt01,abc,abc_resyn2a,resyn2a,{},1,1,0,0,0,-3848,-24,-1,1,0,0.000
ex202,alt01,abc,abc_resyn2rs,resyn2rs,{},6,6,0,0,0,-870,-58,0,6,0,0.000
ex202,alt01,abc,abc_resyn3,resyn3,{},6,6,0,0,0,-315,-21,0,6,0,0.000
ex202,alt01,abc9,abc9_syn2_dc2,abc9_syn2_dc2,{},7,7,0,0,0,12930,862,0,7,0,0.000
ex202,alt01,seed,seed,seed,{},1,1,0,0,0,,,,1,0,0.000
ex202,alt02,abc,abc_bal_rw,bal_rw,{},1,1,0,0,0,-3791,-20,-1,1,0,0.000
ex202,alt02,abc,abc_compress2,compress2,{},13,13,0,0,0,-315,-21,0,13,0,0.000
ex202,alt02,abc,abc_compress2rs,compress2rs,{},13,13,2,0,0,-1080,-72,0,13,2,0.154
ex202,alt02,abc,abc_dc2,dc2,{},1,1,0,0,0,-4286,-53,-1,1,0,0.000
ex202,alt02,abc,abc_dc2_dch,dc2_dch,{},13,13,0,0,0,-795,-53,0,13,0,0.000
ex202,alt02,abc,abc_dch,dch,{},1,1,0,0,0,-4301,-54,-1,1,0,0.000
ex202,alt02,abc,abc_dch_bal_rw,dch_bal_rw,{},13,13,0,0,0,-600,-40,0,13,0,0.000
ex202,alt02,abc,abc_dch_dc2,dch_dc2,{},13,13,0,0,0,-690,-46,0,13,0,0.000
ex202,alt02,abc,abc_resyn,resyn,{},1,1,0,0,0,-3911,-28,-1,1,0,0.000
ex202,alt02,abc,abc_resyn2,resyn2,{},1,1,0,0,0,-4001,-34,-1,1,0,0.000
ex202,alt02,abc,abc_resyn2a,resyn2a,{},1,1,0,0,0,-3941,-30,-1,1,0,0.000
ex202,alt02,abc,abc_resyn2rs,resyn2rs,{},13,13,1,0,0,-885,-59,0,13,1,0.077
ex202,alt02,abc,abc_resyn3,resyn3,{},13,13,0,0,0,-435,-29,0,13,0,0.000
ex202,alt02,abc9,abc9_syn2_dc2,abc9_syn2_dc2,{},14,14,0,0,0,11674,829,-1,14,0,0.000
ex202,alt02,culs,culs_resyn2,resyn2,{},42,42,3,0,0,-90,-6,0,42,3,0.071
ex202,alt02,mockturtle,mockturtle_balance,balance,"{""flow"": ""balance""}",40,40,0,0,0,-15,-1,0,40,0,0.000
ex202,alt02,mockturtle,mockturtle_balance_resub,balance_resub,"{""flow"": ""balance_resub""}",40,40,1,0,0,-270,-18,0,40,1,0.025
ex202,alt02,mockturtle,mockturtle_resub,resub,"{""flow"": ""resub""}",40,40,1,0,0,-195,-13,0,40,1,0.025
ex202,alt02,mockturtle,mockturtle_resub_balance,resub_balance,"{""flow"": ""resub_balance""}",40,40,5,0,0,-210,-14,0,40,5,0.125
ex202,alt02,seed,seed,seed,{},1,1,0,0,0,,,,1,0,0.000
ex202,alt03,abc,abc_bal_rw,bal_rw,{},1,1,0,0,0,-3853,-24,-1,1,0,0.000
ex202,alt03,abc,abc_compress2,compress2,{},4,4,0,0,0,-195,-13,0,4,0,0.000
ex202,alt03,abc,abc_compress2rs,compress2rs,{},4,4,0,0,0,-195,-44,0,4,0,0.000
ex202,alt03,abc,abc_dc2,dc2,{},1,1,0,0,0,-4318,-55,-1,1,0,0.000
ex202,alt03,abc,abc_dc2_dch,dc2_dch,{},4,4,0,0,0,-405,-27,0,4,0,0.000
ex202,alt03,abc,abc_dch,dch,{},1,1,1,0,0,-4468,-65,-1,1,1,1.000
ex202,alt03,abc,abc_dch_bal_rw,dch_bal_rw,{},4,4,0,0,0,-330,-22,0,4,0,0.000
ex202,alt03,abc,abc_dch_dc2,dch_dc2,{},4,4,0,0,0,-360,-24,0,4,0,0.000
ex202,alt03,abc,abc_resyn,resyn,{},1,1,0,0,0,-3943,-30,-1,1,0,0.000
ex202,alt03,abc,abc_resyn2,resyn2,{},1,1,0,0,0,-3928,-29,-1,1,0,0.000
ex202,alt03,abc,abc_resyn2a,resyn2a,{},1,1,0,0,0,-3913,-28,-1,1,0,0.000
ex202,alt03,abc,abc_resyn2rs,resyn2rs,{},4,4,1,0,0,-675,-45,0,4,1,0.250
ex202,alt03,abc,abc_resyn3,resyn3,{},4,4,0,0,0,-270,-18,0,4,0,0.000
ex202,alt03,abc9,abc9_syn2_dc2,abc9_syn2_dc2,{},5,5,0,0,0,10727,883,-1,5,0,0.000
ex202,alt03,mockturtle,mockturtle_balance,balance,"{""flow"": ""balance""}",1,1,0,0,0,0,0,0,1,0,0.000
ex202,alt03,mockturtle,mockturtle_balance_resub,balance_resub,"{""flow"": ""balance_resub""}",1,1,0,0,0,0,0,0,1,0,0.000
ex202,alt03,mockturtle,mockturtle_resub,resub,"{""flow"": ""resub""}",1,1,0,0,0,0,0,0,1,0,0.000
ex202,alt03,mockturtle,mockturtle_resub_balance,resub_balance,"{""flow"": ""resub_balance""}",1,1,0,0,0,0,0,0,1,0,0.000
ex202,alt03,seed,seed,seed,{},1,1,0,0,0,,,,1,0,0.000
ex203,current,abc,abc_bal_rw,bal_rw,{},1,1,0,0,0,-4928,-24,-1,1,0,0.000
ex203,current,abc,abc_compress2,compress2,{},10,10,0,0,0,-480,-30,0,10,0,0.000
ex203,current,abc,abc_compress2rs,compress2rs,{},10,10,0,0,0,-1632,-126,0,10,0,0.000
ex203,current,abc,abc_dc2,dc2,{},1,1,0,0,0,-935,-55,0,1,0,0.000
ex203,current,abc,abc_dc2_dch,dc2_dch,{},10,10,0,0,0,-1264,-79,0,10,0,0.000
ex203,current,abc,abc_dch,dch,{},1,1,1,0,0,-5504,-60,-1,1,1,1.000
ex203,current,abc,abc_dch_bal_rw,dch_bal_rw,{},10,10,0,0,0,-816,-51,0,10,0,0.000
ex203,current,abc,abc_dch_dc2,dch_dc2,{},10,10,0,0,0,-1072,-67,0,10,0,0.000
ex203,current,abc,abc_resyn,resyn,{},1,1,0,0,0,-5040,-31,-1,1,0,0.000
ex203,current,abc,abc_resyn2,resyn2,{},1,1,0,0,0,-5200,-41,-1,1,0,0.000
ex203,current,abc,abc_resyn2a,resyn2a,{},1,1,0,0,0,-5184,-40,-1,1,0,0.000
ex203,current,abc,abc_resyn2rs,resyn2rs,{},10,10,0,0,0,-1632,-102,0,10,0,0.000
ex203,current,abc,abc_resyn3,resyn3,{},10,10,0,0,0,-656,-41,0,10,0,0.000
ex203,current,abc9,abc9_syn2_dc2,abc9_syn2_dc2,{},11,11,0,0,0,-960,224,-1,11,0,0.000
ex203,current,culs,culs_resyn2,resyn2,{},16,16,0,0,0,-272,-17,0,16,0,0.000
ex203,current,mockturtle,mockturtle_balance,balance,"{""flow"": ""balance""}",14,14,0,0,0,-160,-10,0,14,0,0.000
ex203,current,mockturtle,mockturtle_balance_resub,balance_resub,"{""flow"": ""balance_resub""}",14,14,0,0,0,-272,-23,0,14,0,0.000
ex203,current,mockturtle,mockturtle_resub,resub,"{""flow"": ""resub""}",14,14,0,0,0,-128,-18,0,14,0,0.000
ex203,current,mockturtle,mockturtle_resub_balance,resub_balance,"{""flow"": ""resub_balance""}",14,14,0,0,0,-368,-23,0,14,0,0.000
ex203,current,seed,seed,seed,{},1,1,0,0,0,,,,1,0,0.000
ex203,alt01,abc,abc_bal_rw,bal_rw,{},1,1,0,0,0,-5211,-40,-1,1,0,0.000
ex203,alt01,abc,abc_compress2,compress2,{},12,12,0,0,0,-512,-32,0,12,0,0.000
ex203,alt01,abc,abc_compress2rs,compress2rs,{},12,12,2,0,0,-2000,-125,0,12,2,0.167
ex203,alt01,abc,abc_dc2,dc2,{},1,1,0,0,0,-1241,-73,0,1,0,0.000
ex203,alt01,abc,abc_dc2_dch,dc2_dch,{},12,12,0,0,0,-1232,-77,0,12,0,0.000
ex203,alt01,abc,abc_dch,dch,{},1,1,0,0,0,-5931,-85,-1,1,0,0.000
ex203,alt01,abc,abc_dch_bal_rw,dch_bal_rw,{},12,12,0,0,0,-976,-61,0,12,0,0.000
ex203,alt01,abc,abc_dch_dc2,dch_dc2,{},12,12,0,0,0,-1168,-75,0,12,0,0.000
ex203,alt01,abc,abc_resyn,resyn,{},1,1,0,0,0,-5307,-46,-1,1,0,0.000
ex203,alt01,abc,abc_resyn2,resyn2,{},1,1,0,0,0,-5419,-53,-1,1,0,0.000
ex203,alt01,abc,abc_resyn2a,resyn2a,{},1,1,0,0,0,-5387,-51,-1,1,0,0.000
ex203,alt01,abc,abc_resyn2rs,resyn2rs,{},12,12,0,0,0,-1712,-107,0,12,0,0.000
ex203,alt01,abc,abc_resyn3,resyn3,{},12,12,0,0,0,-768,-48,0,12,0,0.000
ex203,alt01,abc9,abc9_syn2_dc2,abc9_syn2_dc2,{},13,13,0,0,0,-331,265,-1,13,0,0.000
ex203,alt01,culs,culs_resyn2,resyn2,{},25,25,3,0,0,-272,-17,0,25,3,0.120
ex203,alt01,mockturtle,mockturtle_balance,balance,"{""flow"": ""balance""}",29,29,1,0,0,-128,-8,0,29,1,0.034
ex203,alt01,mockturtle,mockturtle_balance_resub,balance_resub,"{""flow"": ""balance_resub""}",29,29,1,0,0,-96,-24,0,29,1,0.034
ex203,alt01,mockturtle,mockturtle_resub,resub,"{""flow"": ""resub""}",29,29,0,0,0,-32,-16,0,29,0,0.000
ex203,alt01,mockturtle,mockturtle_resub_balance,resub_balance,"{""flow"": ""resub_balance""}",29,29,3,0,0,-336,-21,0,29,3,0.103
ex203,alt01,seed,seed,seed,{},1,1,0,0,0,,,,1,0,0.000
ex203,alt02,abc,abc_bal_rw,bal_rw,{},1,1,0,0,0,-5288,-44,-1,1,0,0.000
ex203,alt02,abc,abc_compress2,compress2,{},10,10,0,0,0,-624,-39,0,10,0,0.000
ex203,alt02,abc,abc_compress2rs,compress2rs,{},10,10,0,0,0,-1904,-119,0,10,0,0.000
ex203,alt02,abc,abc_dc2,dc2,{},1,1,0,0,0,-5736,-72,-1,1,0,0.000
ex203,alt02,abc,abc_dc2_dch,dc2_dch,{},10,10,0,0,0,-1248,-78,0,10,0,0.000
ex203,alt02,abc,abc_dch,dch,{},1,1,0,0,0,-5976,-87,-1,1,0,0.000
