case,agent_id,hypothesis,representation,shared_structure,expected_sharing,observed_result,notes,candidate_id,synth_flow,domain,method_signature,sharing_scope,verification_status,evidence_path
ex295,unknown-large-r25,cyclic 2-bit-symbol exact split with alternate nonlocal cell basis,cell_grouped_symbol_plane_odd_outer_even_inner,odd plane selector with even plane inner table,,,ex295|cyclic_2bit_symbol_alternate_cell_basis|cell_grouped_symbol_plane_odd_outer_even_inner|shared_majority_defaults_and_selector_decoder|abc_g_aig|official_truth_exact_invertible_basis|cell_grouped_outputs,,yosys abc -g aig,unknown,,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-large-r25/ex295/notes/round25_dossier.md
ex292,unknown-large-r25,global state/permutation-like transform with materially regrouped BDD roots,grouped_scalar_bdd_pools_low_high_output_halves,output halves as independent scalar BDD pools,,,ex292|global_state_transform_regrouped_bdd_roots|low_high_output_halves|output_halves_as_independent_scalar_BDD_pools|abc_g_aig|official_truth_exact_bdd|low_high_output_halves,,yosys abc -g aig,unknown,,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/unknown-large-r25/ex292/notes/round25_dossier.md
ex247,fp8-r25,E5M2FN low-over-high division with direct low-boundary magnitudes,denominator-nested quotient boundary attributes carrying low1/low2/low3 direct magnitudes,"shared NaN/zero/sign shell, effective exponent/significand decode, exponent delta, direct low-boundary magnitude rows",reduce repeated arithmetic boundary logic into shared field decode and compact region/output grouping,386/28/10808,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/fp8-r25/ex247/logs/ex247_r25_direct_lowattrs_default_aig.yosys.log,,,float_fp8,,,,
ex246,fp8-r25,E5M2FN multiply with direct low-boundary magnitudes,product-class attributes carrying low1/low2/low3 direct magnitudes instead of 2-bit pattern completion,"shared NaN/sign shell, effective exponent decode, raw significand product, direct boundary magnitudes, saturation/linear predicates",reduce repeated arithmetic boundary logic into shared field decode and compact region/output grouping,pending,official evaluate.py status NOT_EQUIV; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/fp8-r25/ex246/logs/ex246_r25_direct_lowattrs_default_aig.yosys.log,,,float_fp8,,,,
ex244,fp8-r25,E4M3FN hypot max-plus-delta with gap-split delta functions,three separate delta functions by exact exponent gap instead of a single compact table or BDD chain,"shared abs max/min decode, effective exponent/significand, gap-specific delta decode, saturating max-plus-delta",reduce repeated arithmetic boundary logic into shared field decode and compact region/output grouping,396/36/14256,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/fp8-r25/ex244/logs/ex244_r25_gap_split_delta_default_aig.yosys.log,,,float_fp8,,,,
ex240,fp8-r25,E4M3FN add with direct active-region magnitude table,"direct override table over sign mode, max exponent, gap, and significands, with gap bypass defaults","shared sorted-magnitude decode, sign/magnitude selection, active same/diff correction table",reduce repeated arithmetic boundary logic into shared field decode and compact region/output grouping,6675/38/253650,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/fp8-r25/ex240/logs/ex240_r25_direct_active_add_default_aig.yosys.log,,,float_fp8,,,,
ex245,fp8-r25,E5M2FN add with direct active-region magnitude table,"direct override table over sign mode, max exponent, gap, and significands, with gap bypass defaults","shared sorted-magnitude decode, sign/magnitude selection, active same/diff correction table",reduce repeated arithmetic boundary logic into shared field decode and compact region/output grouping,2351/39/91689,official evaluate.py status OK; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/fp8-r25/ex245/logs/ex245_r25_direct_active_add_default_aig.yosys.log,,,float_fp8,,,,
ex249,fp8-r25,E5M2FN hypot gap-split threshold delta,separate gap0 and gap1 delta functions replacing the prior single raw-exp threshold table,"shared abs max/min decode, raw/effective exponent gap predicates, separate small delta functions, saturating add",reduce repeated arithmetic boundary logic into shared field decode and compact region/output grouping,pending,official evaluate.py status NOT_EQUIV; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/fp8-r25/ex249/logs/ex249_r25_gap_split_delta_default_aig.yosys.log,,,float_fp8,,,,
ex248,fp8-r25,E5M2FN fmod with shared modulo-12 residue basis,"single residue table over divisor, delta mod 12, and numerator significand","shared special-case shell, divisor period residue basis, modulo-12 exponent-delta decode, rem_sig normalization table",reduce repeated arithmetic boundary logic into shared field decode and compact region/output grouping,pending,official evaluate.py status NOT_EQUIV; synth=default_aig; yosys_log=student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/fp8-r25/ex248/logs/ex248_r25_mod12_rem_default_aig.yosys.log,,,float_fp8,,,,
ex241,fp8-r25,FP8 packed arithmetic material-source search,no synthesis in r25 shard,pending new arithmetic decomposition,shared product/division boundary predicates,no official candidate claimed,No Verilog generated in this shard because ready ideas replay documented low-value directions. Next action: derive a shallow E4 product leading/round path; avoid nested product-table and BDD replay.,,,float_fp8,,,,
ex242,fp8-r25,FP8 packed arithmetic material-source search,no synthesis in r25 shard,pending new arithmetic decomposition,shared product/division boundary predicates,no official candidate claimed,No Verilog generated in this shard because ready ideas replay documented low-value directions. Next action: derive a quotient-boundary formula that keeps field-table delay while reducing boundary area.,,,float_fp8,,,,
ex223,mixed-r25,fp16 dense residual blocker,segment hi3..hi6 shape reuse diagnostic,no exact reusable segment shape found without banned table replay,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/mixed-r25/ex223/diagnostics/ex223_round25_dense_metrics.csv,,not_run,fp16,,,,
ex225,mixed-r25,fp16 dense residual blocker,segment hi3..hi6 shape reuse diagnostic,no exact reusable segment shape found without banned table replay,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/mixed-r25/ex225/diagnostics/ex225_round25_dense_metrics.csv,,not_run,fp16,,,,
ex204,mixed-r25,bf16_log2_arithbase_delta_bit9_extension,hilo3 selected-bit correction adding bit9 to round24 bh2 seed,shared exponent base plus selected output-bit correction tables,,,grouped word output,ex204_r25_bf16_log2_log2_arithbase_delta_hilo3_bits_9_11_14_bh2_abc_g_aig,abc_g_aig,bf16,,,,
ex204,mixed-r25,bf16_log2_arithbase_delta_bh3_rebalance,hilo3 selected-bit correction with wider bit grouping,shared exponent base plus selected output-bit correction tables,,,grouped word output,ex204_r25_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh3_abc_g_aig,abc_g_aig,bf16,,,,
ex204,mixed-r25,bf16_log2_arithbase_delta_hilo4_recut,hilo4 arithmetic-base delta with round24 selected-bit grouping,shared exponent base plus selected output-bit correction tables,,,grouped word output,ex204_r25_bf16_log2_log2_arithbase_delta_hilo4_bits_11_14_bh2_abc_g_aig,abc_g_aig,bf16,,,,
ex218,mixed-r25,bf16_reciprocal_cube_delta_hilo4_recut,mode delta-pair with mantissa hilo4 cut,shared reciprocal-cube mode delta table,,,grouped word output,ex218_r25_bf16_recip_cube_delta_pair_mode_hilo4_abc_g_aig,abc_g_aig,bf16,,,,
ex218,mixed-r25,bf16_reciprocal_cube_field_gateflow_recut,separate sign/exp/mant field selector with gate-set flow,shared field decode without copying full value-case word,,,field-reassembled word output,ex218_r25_bf16_recip_cube_sep_fields_e3_m3_s3_abc_g_gates,abc_g_gates,bf16,,,,
ex266,mixed-r25,unsigned_divider_top2_b2a4_hybrid,"top2 quotient bits use deeper b2/a4 cofactor, low bits use shallow word mux",shared quotient-word mux with separate high-bit classifier,,,quotient word,ex266_r25_int_highgap_udiv_ex266_hybrid_top2_b2a4_synth_preset_d10,synth_preset_d10,integer,,,,
ex266,mixed-r25,unsigned_divider_mixed_bmid_cofactor,mixed high/mid divisor cofactor word mux,shared cofactor-local bit-BDDs and quotient word mux,,,quotient word,ex266_r25_int_highgap_udiv_cof_bhi2_bmid2_a_hi3_wordmux_abc_g_aig,abc_g_aig,integer,,,,
ex260,mixed-r25,signed_multiplier_outside_reverse_prefix,outside-ordered Baugh-Wooley rows with reverse hybrid CLA3,shared signed partial products and reverse prefix final merge,,,product word,ex260_r25_signed_mul_baugh_wooley_wallace_outside_rhcla3_abc_g_aig,abc_g_aig,integer,,,,
ex260,mixed-r25,signed_multiplier_reverse_small_prefix,reverse Baugh-Wooley rows with small full prefix from bit3,shared signed partial products and compact final prefix,,,product word,ex260_r25_signed_mul_baugh_wooley_wallace_rev_pfx3_abc_g_aig,abc_g_aig,integer,,,,
ex273,mixed-r25,unsigned_square_midbit_bdd_flow_recut,mid4 BDD replacement plus arithmetic square residual with delay target,shared mid-output BDD plus square-column residual,,,full square word,ex273_r25_int_highgap_square_hybrid_bdd_mid4_synth_preset_d32,synth_preset_d32,integer,,,,
ex274,mixed-r25,unsigned_square_top_mid_bdd_flow_recut,top2 plus mid2 BDD replacement with delay target,shared selected-output BDD plus square-column residual,,,full square word,ex274_r25_int_highgap_square_hybrid_bdd_top2_mid2_synth_preset_d40,synth_preset_d40,integer,,,,
ex273,mixed-r25,unsigned_square_fullrow_csa_retry,full-row CSA square-column compressor with csel8 final merge,shared triangular partial products and carry-save rows,,,full square word,ex273_r25_int_highgap_square_fullrow_csa_csel8_abc_g_aig,abc_g_aig,integer,,,,
ex274,mixed-r25,unsigned_square_fullrow_csa_retry,full-row CSA square-column compressor with csel8 final merge,shared triangular partial products and carry-save rows,,,full square word,ex274_r25_int_highgap_square_fullrow_csa_csel8_abc_g_aig,abc_g_aig,integer,,,,
ex205,coordinator-bf16-r25,bf16_log10_mantissa_grouping_probe,hilo2_word_mode,shared_sign_exp_decode_mantissa_hi2_word_defaults,shared sign/exp decode plus mantissa hi/lo grouped word defaults and local overrides,4536/19/86184; nonwinning,hi_lo split field_mode=False hi_bits=2 default_mode=default_override items=10258,ex205_bf16_log10_hilo2_word_mode,yosys_aigmap_official_evaluate_py,bf16,ex205|bf16_log10_mantissa_grouping_probe|hilo2_word_mode|shared_sign_exp_decode_mantissa_hi2_word_defaults|yosys_aigmap_official_evaluate_py|DAZ_log10_BF16_RNE_FTZ_canonical_NaN|full_word_mantissa_hilo2,full output word by mantissa hi/lo group,official evaluate.py OK,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/coordinator-bf16-r25/ex205/logs/ex205_bf16_log10_hilo2_word_mode.evaluate.py.log
ex205,coordinator-bf16-r25,bf16_log10_mantissa_grouping_probe,hilo5_word_mode,shared_sign_exp_decode_mantissa_hi5_word_defaults,shared sign/exp decode plus mantissa hi/lo grouped word defaults and local overrides,4847/21/101787; nonwinning,hi_lo split field_mode=False hi_bits=5 default_mode=default_override items=10004,ex205_bf16_log10_hilo5_word_mode,yosys_aigmap_official_evaluate_py,bf16,ex205|bf16_log10_mantissa_grouping_probe|hilo5_word_mode|shared_sign_exp_decode_mantissa_hi5_word_defaults|yosys_aigmap_official_evaluate_py|DAZ_log10_BF16_RNE_FTZ_canonical_NaN|full_word_mantissa_hilo5,full output word by mantissa hi/lo group,official evaluate.py OK,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/coordinator-bf16-r25/ex205/logs/ex205_bf16_log10_hilo5_word_mode.evaluate.py.log
