case,domain,agent_id,status,best_candidate_id,best_area,best_delay,best_adp,current_frontend_adp,reference_adp,beats_current_frontend,beats_reference,evidence_path,next_action,notes,evaluated_candidates,equivalent_candidates,best_candidate,beat_current_frontend,beat_reference,outcome
ex242,float_fp8,fp8-r25,blocker_no_material_candidate,,,,,25320,11900,0,0,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/fp8-r25/ex242/notes/high_level_dossier.md,derive a quotient-boundary formula that keeps field-table delay while reducing boundary area,,,,,,,
ex247,float_fp8,fp8-r25,evaluated_gap_remains,ex247_r25_direct_lowattrs_synth_preset_aig,381,28,10668,8349,2975,0,0,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/fp8-r25/ex247/logs/ex247_r25_direct_lowattrs_synth_preset_aig.evaluate.py.log,extend only if method_signature changes materially; otherwise move to a different representation family,,,,,,,
ex246,float_fp8,fp8-r25,no_equivalent_candidate,,,,,7502,2805,0,0,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/fp8-r25/ex246/logs/ex246_r25_direct_lowattrs_default_aig.evaluate.py.log,debug official non-equivalence before any QoR claim,,,,,,,
ex244,float_fp8,fp8-r25,evaluated_gap_remains,ex244_r25_gap_split_delta_synth_preset_aig,333,34,11322,10234,4272,0,0,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/fp8-r25/ex244/logs/ex244_r25_gap_split_delta_synth_preset_aig.evaluate.py.log,extend only if method_signature changes materially; otherwise move to a different representation family,,,,,,,
ex240,float_fp8,fp8-r25,evaluated_gap_remains,ex240_r25_direct_active_add_synth_preset_aig,5413,37,200281,30090,13299,0,0,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/fp8-r25/ex240/logs/ex240_r25_direct_active_add_synth_preset_aig.evaluate.py.log,extend only if method_signature changes materially; otherwise move to a different representation family,,,,,,,
ex245,float_fp8,fp8-r25,evaluated_gap_remains,ex245_r25_direct_active_add_synth_preset_aig,2205,38,83790,23834,11050,0,0,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/fp8-r25/ex245/logs/ex245_r25_direct_active_add_synth_preset_aig.evaluate.py.log,extend only if method_signature changes materially; otherwise move to a different representation family,,,,,,,
ex249,float_fp8,fp8-r25,no_equivalent_candidate,,,,,4368,2079,0,0,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/fp8-r25/ex249/logs/ex249_r25_gap_split_delta_default_aig.evaluate.py.log,debug official non-equivalence before any QoR claim,,,,,,,
ex248,float_fp8,fp8-r25,no_equivalent_candidate,,,,,8550,4180,0,0,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/fp8-r25/ex248/logs/ex248_r25_mod12_rem_default_aig.evaluate.py.log,debug official non-equivalence before any QoR claim,,,,,,,
ex225,fp16,mixed-r25,blocked_no_candidate,,,,,,,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/mixed-r25/ex225/diagnostics/ex225_round25_dense_metrics.csv,,fresh round25 diagnostic confirms dense positive-normal residual; min reused segment shapes hi3..hi6=0; nested/sparse/full-bitrun replay remains banned,,,,,,
ex223,fp16,mixed-r25,blocked_no_candidate,,,,,,,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/mixed-r25/ex223/diagnostics/ex223_round25_dense_metrics.csv,,fresh round25 diagnostic confirms dense positive-normal residual; min reused segment shapes hi3..hi6=0; nested/sparse/full-bitrun replay remains banned,,,,,,
ex274,integer,mixed-r25,evaluated_no_improvement,ex274_r25_int_highgap_square_fullrow_csa_csel8_abc_g_aig,,,64512,,,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/mixed-r25/ex274/logs/ex274_r25_int_highgap_square_fullrow_csa_csel8_abc_g_aig.evaluate.py.log,,best official shard row; frontend=41370 overall=25454 reference=21630,,,,,,
ex218,bf16,mixed-r25,evaluated_no_improvement,ex218_r25_bf16_recip_cube_delta_pair_mode_hilo4_abc_g_aig,,,7602,,,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/mixed-r25/ex218/logs/ex218_r25_bf16_recip_cube_delta_pair_mode_hilo4_abc_g_aig.evaluate.py.log,,best official shard row; frontend=5941 overall=4120 reference=3222,,,,,,
ex204,bf16,mixed-r25,evaluated_no_improvement,ex204_r25_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh3_abc_g_aig,,,25687,,,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/mixed-r25/ex204/logs/ex204_r25_bf16_log2_log2_arithbase_delta_hilo3_bits_11_14_bh3_abc_g_aig.evaluate.py.log,,best official shard row; frontend=24576 overall=21150 reference=15180,,,,,,
ex266,integer,mixed-r25,evaluated_no_improvement,ex266_r25_int_highgap_udiv_ex266_hybrid_top2_b2a4_synth_preset_d10,,,1628,,,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/mixed-r25/ex266/logs/ex266_r25_int_highgap_udiv_ex266_hybrid_top2_b2a4_synth_preset_d10.evaluate.py.log,,best official shard row; frontend=1480 overall=1296 reference=848,,,,,,
ex273,integer,mixed-r25,evaluated_no_improvement,ex273_r25_int_highgap_square_fullrow_csa_csel8_abc_g_aig,,,49147,,,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/mixed-r25/ex273/logs/ex273_r25_int_highgap_square_fullrow_csa_csel8_abc_g_aig.evaluate.py.log,,best official shard row; frontend=26301 overall=18860 reference=15078,,,,,,
ex260,integer,mixed-r25,evaluated_no_improvement,ex260_r25_signed_mul_baugh_wooley_wallace_rev_pfx3_abc_g_aig,,,1232,,,,,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/mixed-r25/ex260/logs/ex260_r25_signed_mul_baugh_wooley_wallace_rev_pfx3_abc_g_aig.evaluate.py.log,,best official shard row; frontend=1144 overall=1066 reference=657,,,,,,
ex205,bf16,coordinator-bf16-r25,evaluated_no_improvement,ex205_bf16_log10_hilo2_word_mode,4536,19,86184,71104,47128,0,0,student/work/ex200_ex299_frontend_refgap_round25_20260613_0506/coordinator-bf16-r25/ex205/logs/ex205_bf16_log10_hilo2_word_mode.evaluate.py.log,Do not repeat hilo2/hilo5 word grouping; need smaller field sharing or semantic log10 formula.,Two official equivalent mantissa grouping variants were worse than current frontend.,2,2,ex205_bf16_log10_hilo2_word_mode,0,0,gap_remains
