agent_id,domain,case,candidate,method_signature,shared_structure,result,area,delay,adp,source_csv,notes,candidate_id,hypothesis_family,diagnostic,report_path,log_path,aig_path,old_adp,descriptor_bits,output_grouping,structure_family,shared_nodes_or_terms,outputs_covered,expected_benefit,observed_qor,timestamp,family,structure,source_modules,selected_bits,order,node_count,status,equivalent,representation,transform,variable_order,anchor_key,classes,selected_output_bits,descriptor_conflicts,bdd_nodes,run_id,source_label,selector,variant,high_level_description,invariants,previous_failed_descriptions,sharing_strategy,verilog_path,evaluate_log,outcome
unknown-breakthrough-b,unknown,ex288,ex288_ubb_onehot_wide_boundary,,keyBDD base plus onehot-boundary donor,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/shared_structure_report.csv,frontend-only source-level exact donor/output-vector cofactor,ex288_ubb_onehot_wide_boundary,,,,,,,outer boundary six,low/high outer triplets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex288,ex288_ubb_mixed_boundary_twohot_cells,,keyBDD base plus two structurally distinct exact donors,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/shared_structure_report.csv,frontend-only source-level exact donor/output-vector cofactor,ex288_ubb_mixed_boundary_twohot_cells,,,,,,,edge onehot and middle twohot groups,four edge outputs plus two middle cells,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex292,ex292_ubb_adjacent_edge_center_mix,,mod4 output-plane BDD base plus adjacent-pair BDD donor,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/shared_structure_report.csv,frontend-only source-level exact donor/output-vector cofactor,ex292_ubb_adjacent_edge_center_mix,,,,,,,edge/center adjacent output planes,three 2-bit adjacent groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex292,ex292_ubb_lowhigh_outer_mix,,mod4 output-plane BDD base plus low/high half BDD donor,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/shared_structure_report.csv,frontend-only source-level exact donor/output-vector cofactor,ex292_ubb_lowhigh_outer_mix,,,,,,,outer triples,low/high three-bit groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex294,ex294_ubb_octant_all_plane_mux,,shared-BDD base plus mod4 BDD alternate behind octant descriptor,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/shared_structure_report.csv,frontend-only source-level exact donor/output-vector cofactor,ex294_ubb_octant_all_plane_mux,,,,,,,same octant endpoint/midpoint route selector,all 16 outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex294,ex294_ubb_octant_odd_plane_mux,,shared-BDD base plus mod4 BDD alternate behind octant descriptor,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/shared_structure_report.csv,frontend-only source-level exact donor/output-vector cofactor,ex294_ubb_octant_odd_plane_mux,,,,,,,same octant endpoint/midpoint route selector,odd output planes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex299,ex299_ubb_pairsel_ring_band_4_13,,static celllocal pair89 base plus pairsel donor,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/shared_structure_report.csv,frontend-only source-level exact donor/output-vector cofactor,ex299_ubb_pairsel_ring_band_4_13,,,,,,,ring bands 4-7 and 10-13,two 4-bit output bands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex299,ex299_ubb_celllocal_vector_case_4_11,,static celllocal pair89 base plus celllocal/sel2 donor,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/shared_structure_report.csv,frontend-only source-level exact donor/output-vector cofactor,ex299_ubb_celllocal_vector_case_4_11,,,,,,,middle octet 4-11,contiguous 8-bit output vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex285,ex285_ubb_current_boundary_and_norm,,current boundary-helper source with direct wrapper,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/shared_structure_report.csv,frontend-only source-level exact donor/output-vector cofactor,ex285_ubb_current_boundary_and_norm,,,,,,,no literal expansion; source-boundary replay,all outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex288,ex288_ubb_current_keybdd_and_norm,,current keyBDD source with direct wrapper,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/shared_structure_report.csv,frontend-only source-level exact donor/output-vector cofactor,ex288_ubb_current_keybdd_and_norm,,,,,,,no bucket-count table; source-boundary replay,all outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex297,ex297_ubb_pairsel_and_norm,,current pairsel cell/bit descriptor source with direct wrapper,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/shared_structure_report.csv,frontend-only source-level exact donor/output-vector cofactor,ex297_ubb_pairsel_and_norm,,,,,,,pairsel cell descriptor source boundary,all outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unknown-breakthrough-b,unknown,ex299,ex299_ubb_celllocal_quad_and_norm,,current celllocal quad source with direct wrapper,,,,,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/unknown-breakthrough-b/shared_structure_report.csv,frontend-only source-level exact donor/output-vector cofactor,ex299_ubb_celllocal_quad_and_norm,,,,,,,celllocal quad source boundary,all outputs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough,float_fp8,ex247,ex247_fp8bt_ratio_boundary_case,"ex247|E5M2FN packed low-over-high division|delta/significand boundary decision graph|shared sign, exponent-delta, numerator/denominator significand key|yosys_abc_g_aig_frontend|official_evaluate|ratio_boundary_vector","shared sign, exponent-delta, numerator/denominator significand key",equivalent,595,25,14875,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough/shared_structure_report.csv,official evaluate.py OK; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough/ex247/logs/ex247_fp8bt_ratio_boundary_case.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough,float_fp8,ex246,ex246_fp8bt_product_boundary_case,"ex246|E5M2FN packed multiply high byte times low byte|exp-sum/product boundary decision graph|shared sign, exponent-sum, significand product key|yosys_abc_g_aig_frontend|official_evaluate|product_boundary_vector","shared sign, exponent-sum, significand product key",equivalent,737,28,20636,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough/shared_structure_report.csv,official evaluate.py OK; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough/ex246/logs/ex246_fp8bt_product_boundary_case.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough,float_fp8,ex244,ex244_fp8bt_maxeff_delta_case,ex244|E4M3FN packed hypot abs high low|max-effective-exponent delta decision graph|shared max/min decode plus max_eff/gap/sig delta residual|yosys_abc_g_aig_frontend|official_evaluate|max_plus_delta_vector,shared max/min decode plus max_eff/gap/sig delta residual,equivalent,572,40,22880,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough/shared_structure_report.csv,official evaluate.py OK; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough/ex244/logs/ex244_fp8bt_maxeff_delta_case.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough,float_fp8,ex241,ex241_fp8bt_product_boundary_case,"ex241|E4M3FN packed multiply high byte times low byte|product magnitude bit-vector decision graph|shared sign, exponent-sum, significand product key|yosys_abc_g_aig_frontend|official_evaluate|product_boundary_vector","shared sign, exponent-sum, significand product key",equivalent,1485,38,56430,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough/shared_structure_report.csv,official evaluate.py OK; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough/ex241/logs/ex241_fp8bt_product_boundary_case.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough,float_fp8,ex245,ex245_fp8bt_ordered_pair_case,"ex245|E5M2FN packed add high byte plus low byte|ordered magnitude/sign-class vector decision graph|shared sorted magnitude, sign relation, and selected result sign|yosys_abc_g_aig_frontend|official_evaluate|ordered_pair_vector","shared sorted magnitude, sign relation, and selected result sign",equivalent,4080,33,134640,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough/shared_structure_report.csv,official evaluate.py OK; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough/ex245/logs/ex245_fp8bt_ordered_pair_case.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough,float_fp8,ex249,ex249_fp8bt_maxeff_delta_case,ex249|E5M2FN packed hypot abs high low|active-gap max-effective delta decision graph|shared max/min decode plus max_eff/gap/sig delta residual|yosys_abc_g_aig_frontend|official_evaluate|max_plus_delta_vector,shared max/min decode plus max_eff/gap/sig delta residual,equivalent,269,36,9684,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough/shared_structure_report.csv,official evaluate.py OK; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough/ex249/logs/ex249_fp8bt_maxeff_delta_case.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough,float_fp8,ex240,ex240_fp8bt_ordered_pair_case,"ex240|E4M3FN packed add high byte plus low byte|ordered magnitude/sign-class vector decision graph|shared sorted magnitude, sign relation, and selected result sign|yosys_abc_g_aig_frontend|official_evaluate|ordered_pair_vector","shared sorted magnitude, sign relation, and selected result sign",equivalent,5452,33,179916,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough/shared_structure_report.csv,official evaluate.py OK; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough/ex240/logs/ex240_fp8bt_ordered_pair_case.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough,float_fp8,ex248,ex248_fp8bt_num_den_pair_case,ex248|E5M2FN packed fmod low mod high|numerator/denominator magnitude residual decision graph|shared numerator/denominator magnitude key and sign shell|yosys_abc_g_aig_frontend|official_evaluate|num_den_pair_vector,shared numerator/denominator magnitude key and sign shell,equivalent,4812,25,120300,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough/shared_structure_report.csv,official evaluate.py OK; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough/ex248/logs/ex248_fp8bt_num_den_pair_case.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough-r2,float_fp8,ex247,ex247_r2_lowpat_boolean_repo_default,ex247|E5M2FN packed low-over-high division|denominator-bound shell with direct low-underflow pattern bits|shared sign exponent-delta denominator attributes plus Boolean low-pattern residual|repo_default|official_evaluate|full_word_small_residual,shared sign exponent-delta denominator attributes plus Boolean low-pattern residual,equivalent,367,25,9175,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough-r2/shared_structure_report.csv,Replaces only the 4-bit low_from_pat table with explicit bit predicates.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough-r2/ex247/logs/ex247_r2_lowpat_boolean_repo_default.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough-r2,float_fp8,ex247,ex247_r2_lowpat_boolean_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|denominator-bound shell with direct low-underflow pattern bits|shared sign exponent-delta denominator attributes plus Boolean low-pattern residual|abc_g_aig_frontend|official_evaluate|full_word_small_residual,shared sign exponent-delta denominator attributes plus Boolean low-pattern residual,equivalent,361,25,9025,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough-r2/shared_structure_report.csv,Replaces only the 4-bit low_from_pat table with explicit bit predicates.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough-r2/ex247/logs/ex247_r2_lowpat_boolean_abc_g_aig_frontend.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough-r2,float_fp8,ex247,ex247_r2_special_lowpat_boolean_repo_default,ex247|E5M2FN packed low-over-high division|special-case shell plus direct low-underflow pattern bits|shared divide-by-zero/zero shell and Boolean low-pattern residual|repo_default|official_evaluate|selected_low_underflow_bits,shared divide-by-zero/zero shell and Boolean low-pattern residual,equivalent,370,24,8880,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough-r2/shared_structure_report.csv,Adds an explicit non-NaN special shell and limits residual rewrite to low-underflow bits.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough-r2/ex247/logs/ex247_r2_special_lowpat_boolean_repo_default.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough-r2,float_fp8,ex247,ex247_r2_special_lowpat_boolean_abc_g_aig_frontend,ex247|E5M2FN packed low-over-high division|special-case shell plus direct low-underflow pattern bits|shared divide-by-zero/zero shell and Boolean low-pattern residual|abc_g_aig_frontend|official_evaluate|selected_low_underflow_bits,shared divide-by-zero/zero shell and Boolean low-pattern residual,equivalent,361,23,8303,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough-r2/shared_structure_report.csv,Adds an explicit non-NaN special shell and limits residual rewrite to low-underflow bits.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough-r2/ex247/logs/ex247_r2_special_lowpat_boolean_abc_g_aig_frontend.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough-r2,float_fp8,ex246,ex246_r2_zero_guard_product_repo_default,ex246|E5M2FN packed multiply high byte times low byte|zero-input guard around seed12 product-class shell|shared NaN/sign/zero predicates before product and product_mag residual|repo_default|official_evaluate|full_word,shared NaN/sign/zero predicates before product and product_mag residual,equivalent,355,24,8520,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough-r2/shared_structure_report.csv,Keeps seed12 product-class semantics but exposes zero product as a shared predicate.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough-r2/ex246/logs/ex246_r2_zero_guard_product_repo_default.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough-r2,float_fp8,ex246,ex246_r2_zero_guard_product_abc_g_aig_frontend,ex246|E5M2FN packed multiply high byte times low byte|zero-input guard around seed12 product-class shell|shared NaN/sign/zero predicates before product and product_mag residual|abc_g_aig_frontend|official_evaluate|full_word,shared NaN/sign/zero predicates before product and product_mag residual,equivalent,354,24,8496,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough-r2/shared_structure_report.csv,Keeps seed12 product-class semantics but exposes zero product as a shared predicate.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough-r2/ex246/logs/ex246_r2_zero_guard_product_abc_g_aig_frontend.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough-r2,float_fp8,ex244,ex244_r2_sat_predicate_nogroup_repo_default,ex244|E4M3FN packed hypot abs high low|max-eff delta BDD with selected saturation predicate replacement|shared max/min decode and delta bits; replaces only final saturation comparator|repo_default|official_evaluate|full_word_selected_saturation,shared max/min decode and delta bits; replaces only final saturation comparator,equivalent,320,37,11840,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough-r2/shared_structure_report.csv,Uses delta-bit saturation predicates without the r62 per-output NaN cone grouping.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough-r2/ex244/logs/ex244_r2_sat_predicate_nogroup_repo_default.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough-r2,float_fp8,ex244,ex244_r2_sat_predicate_nogroup_abc_g_aig_frontend,ex244|E4M3FN packed hypot abs high low|max-eff delta BDD with selected saturation predicate replacement|shared max/min decode and delta bits; replaces only final saturation comparator|abc_g_aig_frontend|official_evaluate|full_word_selected_saturation,shared max/min decode and delta bits; replaces only final saturation comparator,equivalent,313,37,11581,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough-r2/shared_structure_report.csv,Uses delta-bit saturation predicates without the r62 per-output NaN cone grouping.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough-r2/ex244/logs/ex244_r2_sat_predicate_nogroup_abc_g_aig_frontend.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough-r2,float_fp8,ex241,ex241_r2_zero_guard_product_repo_default,ex241|E4M3FN packed multiply high byte times low byte|zero-input guard around nested exp/product shell|shared NaN/sign/zero predicates before product table residual|repo_default|official_evaluate|full_word,shared NaN/sign/zero predicates before product table residual,equivalent,562,30,16860,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough-r2/shared_structure_report.csv,Keeps nested table semantics while exposing zero product as a shared predicate.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough-r2/ex241/logs/ex241_r2_zero_guard_product_repo_default.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough-r2,float_fp8,ex241,ex241_r2_zero_guard_product_abc_g_aig_frontend,ex241|E4M3FN packed multiply high byte times low byte|zero-input guard around nested exp/product shell|shared NaN/sign/zero predicates before product table residual|abc_g_aig_frontend|official_evaluate|full_word,shared NaN/sign/zero predicates before product table residual,equivalent,553,30,16590,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough-r2/shared_structure_report.csv,Keeps nested table semantics while exposing zero product as a shared predicate.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough-r2/ex241/logs/ex241_r2_zero_guard_product_abc_g_aig_frontend.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fp8-breakthrough-r2,float_fp8,ex249,ex249_r2_active_delta_bits_repo_default,ex249|E5M2FN packed hypot abs high low|raw-exp threshold shell with selected active delta bits|shared max/min raw-exp decode and active-gap delta predicates|repo_default|official_evaluate|selected_delta_bits,shared max/min raw-exp decode and active-gap delta predicates,equivalent,189,31,5859,student/frontend_campaigns/campaigns/ex204_ex299_frontend_breakthrough_20260614_1051/agent_shards/fp8-breakthrough-r2/shared_structure_report.csv,Quick low-priority check; keeps raw-exp threshold table and splits only active delta bits.; synth_log=student/work/ex204_ex299_frontend_breakthrough_20260614_1051/fp8-breakthrough-r2/ex249/logs/ex249_r2_active_delta_bits_repo_default.yosys.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
