case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,notes
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_resub_deep_rf_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow resub_deep_rf,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; resub -K 8 -N 2; resub -K 10 -N 2; rewrite -z; refactor -z; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_dc2_scorr_resyn_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow dc2_scorr_resyn,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; dc2; scorr; dc2; balance; rewrite -z; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_dc2_lcorr_resyn_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow dc2_lcorr_resyn,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; dc2; lcorr; dc2; balance; rewrite -z; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_rw_resub_loop5_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow rw_resub_loop5,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; rewrite; rewrite -z; resub -K 6 -N 2; rewrite -z; resub -K 8 -N 2; refactor -z; rewrite -z; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_area_then_delay_recover_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow area_then_delay_recover,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; balance -l; rewrite -l; refactor -l; rewrite -z -l; refactor -z -l; balance; rewrite; rewrite -z; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_gia_dc2_put_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow gia_dc2_put,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; &get; &dc2; &put; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_gia_dch_put_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow gia_dch_put,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; &get; &dch; &put; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_gia_dc2_rw_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow gia_dc2_rw,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; &get; &dc2; &put; rewrite; rewrite -z; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_if4_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow if4_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; if -K 4; strash; dc2; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_if5_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow if5_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; if -K 5; strash; dc2; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_if6_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow if6_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; if -K 6; strash; dc2; balance
ex246,float_fp8,local-fp8-extra-r48,ex246_r48_dc2_if6_dc2_from_frontend_best,frontend best structural remap from current best,ABC diverse remap flow dc2_if6_dc2,preserves existing shared frontend decode/logic; applies ABC structural rewriting,flow=strash; dc2; if -K 6; strash; dc2; balance
