case,encoded_bit,field_kind,field_index,support_size,support,ones,notes
ex289,2,pair_count,1,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,33712,raw input support for encoded output field
ex289,3,pair_count,1,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,15699,raw input support for encoded output field
ex289,4,pair_count,2,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,31824,raw input support for encoded output field
ex289,5,pair_count,2,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16643,raw input support for encoded output field
ex289,6,pair_count,3,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,31792,raw input support for encoded output field
ex289,7,pair_count,3,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16659,raw input support for encoded output field
ex289,8,pair_count,4,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,31792,raw input support for encoded output field
ex289,9,pair_count,4,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,17085,raw input support for encoded output field
ex289,10,pair_count,5,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,31824,raw input support for encoded output field
ex289,11,pair_count,5,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,17069,raw input support for encoded output field
ex289,12,pair_count,6,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,33712,raw input support for encoded output field
ex289,13,pair_count,6,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16125,raw input support for encoded output field
ex289,14,pair_count,7,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,33744,raw input support for encoded output field
ex289,15,pair_count,7,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,16109,raw input support for encoded output field
ex289,16,orientation,0,16,0:1:2:3:4:5:6:7:8:9:10:11:12:13:14:15,32640,raw input support for encoded output field
