case,candidate_id,simulator,status,vector_count,log_path,agent_id,notes,shard_csv,domain,simulation_pass,patterns,method_signature,testbench_path,sim_command,sim_pass,vectors_tested,failure_summary
ex244,ex244_ex244_r75_valid_delta_bits_repo_yosys,not_run,not_run,,,sub-fp8-addhypot-redesc-r75,official evaluate.py used for final equivalence,agent_shards/sub-fp8-addhypot-redesc-r75/simulation_results.csv,float_fp8,not_run,,,,,,,
ex244,ex244_ex244_r75_field_valid_delta_bits_repo_yosys,not_run,not_run,,,sub-fp8-addhypot-redesc-r75,official evaluate.py used for final equivalence,agent_shards/sub-fp8-addhypot-redesc-r75/simulation_results.csv,float_fp8,not_run,,,,,,,
ex245,ex245_ex245_r75_field_active_mux_repo_yosys,not_run,not_run,,,sub-fp8-addhypot-redesc-r75,official evaluate.py used for final equivalence,agent_shards/sub-fp8-addhypot-redesc-r75/simulation_results.csv,float_fp8,not_run,,,,,,,
ex245,ex245_ex245_r75_field_keyed_tables_repo_yosys,not_run,not_run,,,sub-fp8-addhypot-redesc-r75,official evaluate.py used for final equivalence,agent_shards/sub-fp8-addhypot-redesc-r75/simulation_results.csv,float_fp8,not_run,,,,,,,
ex249,ex249_ex249_r75_active_key_delta_case_repo_yosys,not_run,not_run,,,sub-fp8-addhypot-redesc-r75,official evaluate.py used for final equivalence,agent_shards/sub-fp8-addhypot-redesc-r75/simulation_results.csv,float_fp8,not_run,,,,,,,
ex249,ex249_ex249_r75_active_key_split_pred_repo_yosys,not_run,not_run,,,sub-fp8-addhypot-redesc-r75,official evaluate.py used for final equivalence,agent_shards/sub-fp8-addhypot-redesc-r75/simulation_results.csv,float_fp8,not_run,,,,,,,
ex241,ex241_r75_product_class_step_patch,iverilog,not_run,,,sub-fp8-muldiv-redesc-r75,official evaluate.py used directly; no simulation debug needed,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp8-muldiv-redesc-r75/simulation_results.csv,,,0,,,,,,
ex246,ex246_r75_pprod_class_step_patch,iverilog,not_run,,,sub-fp8-muldiv-redesc-r75,official evaluate.py used directly; no simulation debug needed,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp8-muldiv-redesc-r75/simulation_results.csv,,,0,,,,,,
ex247,ex247_r75_sigpair_delta_patch,iverilog,not_run,,,sub-fp8-muldiv-redesc-r75,official evaluate.py used directly; no simulation debug needed,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-fp8-muldiv-redesc-r75/simulation_results.csv,,,0,,,,,,
ex297,ex297_r75_pairsel_sel2_cluster_static,iverilog,skipped,0,,sub-unknown-large-redesc-r75,exact bit-cone graft from official-equivalent sources; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-large-redesc-r75/simulation_results.csv,,,,ex297|cyclic_2bit_static_bitcone_graft|static selected output bits from sel2-cluster source over pairsel current best|pairsel template provides most outputs; only output bits 10/11 use the sel2 BDD cone|yosys_internal_abc_g_aig|official_evaluate|static_sel2_cluster_bits,,not_run,not_run,0,
ex297,ex297_r75_pairsel_celllocal_lowcells,iverilog,skipped,0,,sub-unknown-large-redesc-r75,exact bit-cone graft from official-equivalent sources; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-large-redesc-r75/simulation_results.csv,,,,ex297|cyclic_2bit_static_bitcone_graft|static low-cell output cones from cell-local source over pairsel current best|cell-local inversion source covers cells 0..2 while pairsel template covers the rest|yosys_internal_abc_g_aig|official_evaluate|static_celllocal_low_cells,,not_run,not_run,0,
ex297,ex297_r75_pairsel_celllocal_highcells,iverilog,skipped,0,,sub-unknown-large-redesc-r75,exact bit-cone graft from official-equivalent sources; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-large-redesc-r75/simulation_results.csv,,,,ex297|cyclic_2bit_static_bitcone_graft|static high-cell output cones from cell-local source over pairsel current best|cell-local inversion source covers cells 4..6 while pairsel template covers the rest|yosys_internal_abc_g_aig|official_evaluate|static_celllocal_high_cells,,not_run,not_run,0,
ex297,ex297_r75_pairsel_r71_selector_plane,iverilog,skipped,0,,sub-unknown-large-redesc-r75,exact bit-cone graft from official-equivalent sources; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-large-redesc-r75/simulation_results.csv,,,,ex297|cyclic_2bit_static_bitcone_graft|static selector-plane cones from r71 sel0-identity source over pairsel current best|r71 source drives even selector-plane outputs; pairsel drives odd inner-plane outputs|yosys_internal_abc_g_aig|official_evaluate|static_r71_selector_plane,,not_run,not_run,0,
ex299,ex299_r75_sel2_celllocal_cluster_static,iverilog,skipped,0,,sub-unknown-large-redesc-r75,exact bit-cone graft from official-equivalent sources; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-large-redesc-r75/simulation_results.csv,,,,ex299|cyclic_2bit_static_bitcone_graft|static selected output bits from cell-local source over sel2-cluster current best|sel2 cluster source provides most outputs; only bits 8/9 use cell-local cones|yosys_internal_abc_g_aig|official_evaluate|static_celllocal_cluster_bits,,not_run,not_run,0,
ex299,ex299_r75_sel2_pairsel_cluster_static,iverilog,skipped,0,,sub-unknown-large-redesc-r75,exact bit-cone graft from official-equivalent sources; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-large-redesc-r75/simulation_results.csv,,,,ex299|cyclic_2bit_static_bitcone_graft|static selected output bits from pairsel source over sel2-cluster current best|sel2 cluster source provides most outputs; only bits 8/9 use pairsel cones|yosys_internal_abc_g_aig|official_evaluate|static_pairsel_cluster_bits,,not_run,not_run,0,
ex299,ex299_r75_sel2_celllocal_lowhalf,iverilog,skipped,0,,sub-unknown-large-redesc-r75,exact bit-cone graft from official-equivalent sources; official evaluate.py used,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-large-redesc-r75/simulation_results.csv,,,,ex299|cyclic_2bit_static_bitcone_graft|static low-half output cones from cell-local source over sel2-cluster current best|cell-local inversion source drives low half; sel2 cluster source drives high half|yosys_internal_abc_g_aig|official_evaluate|static_celllocal_low_half,,not_run,not_run,0,
ex285,ex285_r75_paircanon_decision_tree,iverilog,not_run,0,not_run,sub-unknown-small-redesc-r75,Skipped; final evidence is official evaluate.py.,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-small-redesc-r75/simulation_results.csv,unknown,not_run,,,,,,,
ex285,ex285_r75_paircanon_p45_decision_tree,iverilog,not_run,0,not_run,sub-unknown-small-redesc-r75,Skipped; final evidence is official evaluate.py.,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-small-redesc-r75/simulation_results.csv,unknown,not_run,,,,,,,
ex285,ex285_r75_paircanon_p67_decision_tree,iverilog,not_run,0,not_run,sub-unknown-small-redesc-r75,Skipped; final evidence is official evaluate.py.,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-small-redesc-r75/simulation_results.csv,unknown,not_run,,,,,,,
ex288,ex288_r75_vector_onehot_mux_keybdd7,iverilog,not_run,0,not_run,sub-unknown-small-redesc-r75,Skipped; final evidence is official evaluate.py.,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-small-redesc-r75/simulation_results.csv,unknown,not_run,,,,,,,
ex288,ex288_r75_vector_onehot_mux_keybdd7_abc_g_aig_d14,iverilog,not_run,0,not_run,sub-unknown-small-redesc-r75,Skipped; final evidence is official evaluate.py.,student/frontend_campaigns/campaigns/frontend_source_parallel_round75_20260613_1450/agent_shards/sub-unknown-small-redesc-r75/simulation_results.csv,unknown,not_run,,,,,,,
