round,run_id,agent_id,case,domain,hypothesis,representation,sharing_strategy,method_signature,status,reason,verilog_path,log_path,notes,shard_csv,candidate_id,variant,aig_path,,blocked_reason,next_non_repeated_route_hypothesis,evidence_path,outcome,failure_reason,family,next_non_repeated_hypothesis
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-top-hybrid-r85,ex244,float_fp8,E4M3FN packed hypot abs high low,max-plus-delta residual SOP replacement,shared nan/max/min/effective-exp/gap shell with independently exact delta-bit residual expressions; delta_sop_cubes_bit0_45_bit1_47_bit2_27_valid_keys_2472,ex244|E4M3FN packed hypot abs high low|max-plus-delta residual SOP replacement|shared nan/max/min/effective-exp/gap shell with independently exact delta-bit residual expressions; delta_sop_cubes_bit0_45_bit1_47_bit2_27_valid_keys_2472|repo_yosys_frontend|official_evaluate|residual_active_region,equivalent_no_frontend_gain,official OK ADP 19352 did not beat frontend 9120,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex244/verilog/ex244_r85_delta_residual_sop.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex244/logs/ex244_r85_delta_residual_sop.evaluate.py.log,official evaluate.py OK; synth_eval_sec=0.887; eval_sec=0.489,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-top-hybrid-r85/failed_hypotheses.csv,ex244_r85_delta_residual_sop,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex244/aigs/ex244_r85_delta_residual_sop.aig,,,try different quotient-boundary decomposition or lower-cost residual sharing,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-top-hybrid-r85/ex244/logs/ex244_r85_delta_residual_sop.evaluate.py.log,,,,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-wide-hybrid-r85,ex249,float_fp8,E5M2FN packed hypot abs high low,round84 semantic full BDD and prior raw-exp wrappers,shared max/min or full BDD roots,ex249|E5M2FN packed hypot abs high low|r84 semantic table BDD and prior threshold wrappers|blocked_prior_notes|frontend_only|official_evaluate_prior|full_word,blocked_prior_notes,Round84 semantic delta BDD ADP 8979 and full truth BDD ADP 17365 did not improve; prior threshold wrappers also nonwinning. Round85 will not replay these unchanged.,,,active next artifact student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-wide-hybrid-r85/ex249/verilog/ex249_r85_split_delta_predicates.v,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-wide-hybrid-r85/failed_hypotheses.csv,,prior_family_blocker,,,,,,,,,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-wide-hybrid-r85,ex241,float_fp8,E4M3FN packed multiply high byte times low byte,round84 product table replay and full truth BDD,shared product/exp_sum or full BDD roots,ex241|E4M3FN packed multiply|r84 product table full BDD replay|blocked_prior_notes|frontend_only|official_evaluate_prior|full_word,blocked_prior_notes,Round84 product table ADP 26530 and full truth BDD ADP 46948 did not improve; prior nested product wrappers are nonwinning. Round85 will target output clusters and residuals instead.,,,active next artifact student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-wide-hybrid-r85/ex241/verilog/ex241_r85_product_output_cluster.v,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-wide-hybrid-r85/failed_hypotheses.csv,,prior_family_blocker,,,,,,,,,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-wide-hybrid-r85,ex240,float_fp8,E4M3FN packed add high byte plus low byte,round84 normalizer full BDD and prior source-tail wrappers,shared magnitude normalizer or full BDD roots,ex240|E4M3FN packed add|r84 normalizer full BDD and prior source-tail wrappers|blocked_prior_notes|frontend_only|official_evaluate_prior|full_word,blocked_prior_notes,Round84 normalizer ADP 92560 and full truth BDD ADP 65088 did not improve; r75-r78 output wrappers were nonwinning. Round85 will only try smaller cancellation residuals.,,,active next artifact student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-wide-hybrid-r85/ex240/verilog/ex240_r85_cancel_predicate_patch.v,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-wide-hybrid-r85/failed_hypotheses.csv,,prior_family_blocker,,,,,,,,,
round85,frontend_hybrid_parallel_round85_20260613_2139,sub-fp8-wide-hybrid-r85,ex245,float_fp8,E5M2FN packed add high byte plus low byte,round84 same/diff BDD and gap4 normalizer plus gap-class wrappers,shared sorted decode with same/diff roots,ex245|E5M2FN packed add|r84 same-diff BDD gap4 normalizer and prior gap-class wrappers|blocked_prior_notes|frontend_only|official_evaluate_prior|full_word,blocked_prior_notes,Round84 split BDD ADP 43488 and gap4 normalizer ADP 50400 did not improve; gap-class wrappers and output clustering already nonwinning. Round85 will change active residuals instead.,,,active next artifact student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-fp8-wide-hybrid-r85/ex245/verilog/ex245_r85_active_residual_patch.v,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-fp8-wide-hybrid-r85/failed_hypotheses.csv,,prior_family_blocker,,,,,,,,,
,,sub-unknown-hybrid-r85,ex285,,repeat_keybdd_symcof_pairdesc_wrappers,,,ex285|hamming_weight_preserving_lossy_routing_normalizer|keybdd_symcof_pairdesc_replay|prior_case_notes_only|no_synth|full_word,BLOCKED_NO_CANDIDATE,,,,checkpoint blocker row,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-unknown-hybrid-r85/failed_hypotheses.csv,,,,,Prior notes and round84 show keyBDD/symcof/pairdesc wrappers and selected-output grafts were exact but nonwinning; not repeating unchanged,,student/cases/ex280_ex299_unknown/ex285/frontend_attempts.md,,,,source-level output-group grafting from current decision-tree with bounded descriptor conflicts
,,sub-unknown-hybrid-r85,ex288,,repeat_bucket_key_table_or_keybdd_selected_bit,,,ex288|hamming_weight_preserving_lossy_routing_normalizer|bucket_key_table_keybdd_replay|prior_case_notes_only|no_synth|full_word,BLOCKED_NO_CANDIDATE,,,,checkpoint blocker row,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-unknown-hybrid-r85/failed_hypotheses.csv,,,,,Prior notes and round84 show bucket-key/keyBDD table variants are exact but table-scale or nonwinning; not repeating unchanged,,student/cases/ex280_ex299_unknown/ex288/frontend_attempts.md,,,,source-level grafting around low-delay keyBDD only where conflict-heavy keys stay bounded
,,sub-unknown-hybrid-r85,ex297,,repeat_full_ring_descriptor_table,,,ex297|cyclic_2bit_symbol_descriptor|full_ring_or_radius3_descriptor_replay|prior_round84_diagnostic|no_synth|cell_pair_outputs,BLOCKED_NO_CANDIDATE,,,,checkpoint blocker row,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-unknown-hybrid-r85/failed_hypotheses.csv,,,,,Round84 found exact descriptor only when radius covers the full 7-cell ring with 16384 entries; table-sized and not emitted,,student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-descriptor-r84/ex297/diagnostics/ex297_r84_descriptor_diagnostics.csv,,,,output-group grafting from r73 pairsel source plus only compact residual descriptors
,,sub-unknown-hybrid-r85,ex299,,repeat_full_ring_descriptor_table,,,ex299|cyclic_2bit_symbol_descriptor|full_ring_or_radius4_descriptor_replay|prior_round84_diagnostic|no_synth|cell_pair_outputs,BLOCKED_NO_CANDIDATE,,,,checkpoint blocker row,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-unknown-hybrid-r85/failed_hypotheses.csv,,,,,Round84 found exact descriptor only when radius covers the full 8-cell ring with 65536 entries; table-sized and not emitted,,student/work/frontend_radical_parallel_round84_20260613_2103/sub-unknown-descriptor-r84/ex299/diagnostics/ex299_r84_descriptor_diagnostics.csv,,,,output-group grafting from r78 sel2/celllocal source plus only compact residual descriptors
,,sub-unknown-hybrid-r85,ex285,,round85_source_output_graft,,,ex285|round85_source_output_graft|decision_tree_base_sorted_descriptor_outer_bits_0_11|base=ex285_tree|donors=ex285_sorted_r84:0-11|yosys_internal_abc_g_aig|official_evaluate,EQUIVALENT_NONWINNING,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex285/verilog/ex285_r85_tree_sorted_outer_0_11.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex285/logs/ex285_r85_tree_sorted_outer_0_11.evaluate.py.log,adp=14093; frontend_target=11033,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-unknown-hybrid-r85/failed_hypotheses.csv,,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex285/aigs/ex285_r85_tree_sorted_outer_0_11.aig,,ADP did not beat current frontend target,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex285/logs/ex285_r85_tree_sorted_outer_0_11.evaluate.py.log,,,,use smaller residual logic or different output group
,,sub-unknown-hybrid-r85,ex285,,round85_source_output_graft,,,ex285|round85_source_output_graft|decision_tree_base_loww2_center_bits_4_7|base=ex285_tree|donors=ex285_loww2_r73:4-7|yosys_internal_abc_g_aig|official_evaluate,EQUIVALENT_NONWINNING,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex285/verilog/ex285_r85_tree_loww2_center_4_7.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex285/logs/ex285_r85_tree_loww2_center_4_7.evaluate.py.log,adp=13668; frontend_target=11033,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-unknown-hybrid-r85/failed_hypotheses.csv,,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex285/aigs/ex285_r85_tree_loww2_center_4_7.aig,,ADP did not beat current frontend target,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex285/logs/ex285_r85_tree_loww2_center_4_7.evaluate.py.log,,,,use smaller residual logic or different output group
,,sub-unknown-hybrid-r85,ex288,,round85_source_output_graft,,,ex288|round85_source_output_graft|keybdd_base_loww2_edge_bits_0_14|base=ex288_keybdd|donors=ex288_loww2_r73:0-14|yosys_internal_abc_g_aig|official_evaluate,EQUIVALENT_NONWINNING,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex288/verilog/ex288_r85_keybdd_loww2_edges_0_14.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex288/logs/ex288_r85_keybdd_loww2_edges_0_14.evaluate.py.log,adp=33690; frontend_target=31598,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-unknown-hybrid-r85/failed_hypotheses.csv,,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex288/aigs/ex288_r85_keybdd_loww2_edges_0_14.aig,,ADP did not beat current frontend target,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex288/logs/ex288_r85_keybdd_loww2_edges_0_14.evaluate.py.log,,,,use smaller residual logic or different output group
,,sub-unknown-hybrid-r85,ex288,,round85_source_output_graft,,,ex288|round85_source_output_graft|keybdd_base_loww2_center_bits_6_8|base=ex288_keybdd|donors=ex288_loww2_r73:6-8|yosys_internal_abc_g_aig|official_evaluate,EQUIVALENT_NONWINNING,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex288/verilog/ex288_r85_keybdd_loww2_center_6_8.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex288/logs/ex288_r85_keybdd_loww2_center_6_8.evaluate.py.log,adp=31682; frontend_target=31598,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-unknown-hybrid-r85/failed_hypotheses.csv,,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex288/aigs/ex288_r85_keybdd_loww2_center_6_8.aig,,ADP did not beat current frontend target,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex288/logs/ex288_r85_keybdd_loww2_center_6_8.evaluate.py.log,,,,use smaller residual logic or different output group
,,sub-unknown-hybrid-r85,ex297,,round85_source_output_graft,,,ex297|round85_source_output_graft|pairsel_base_pairxor_lowadj_bits_2_3|base=ex297_pairsel_r73|donors=ex297_pairxor_r74:2-3|yosys_internal_abc_g_aig|official_evaluate,EQUIVALENT_NONWINNING,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex297/verilog/ex297_r85_pairsel_pairxor_lowadj_2_3.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex297/logs/ex297_r85_pairsel_pairxor_lowadj_2_3.evaluate.py.log,adp=425984; frontend_target=425024,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-unknown-hybrid-r85/failed_hypotheses.csv,,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex297/aigs/ex297_r85_pairsel_pairxor_lowadj_2_3.aig,,ADP did not beat current frontend target,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex297/logs/ex297_r85_pairsel_pairxor_lowadj_2_3.evaluate.py.log,,,,use smaller residual logic or different output group
,,sub-unknown-hybrid-r85,ex297,,round85_source_output_graft,,,ex297|round85_source_output_graft|pairsel_base_pairxor_hiadj_bits_10_11|base=ex297_pairsel_r73|donors=ex297_pairxor_r74:10-11|yosys_internal_abc_g_aig|official_evaluate,EQUIVALENT_NONWINNING,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex297/verilog/ex297_r85_pairsel_pairxor_hiadj_10_11.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex297/logs/ex297_r85_pairsel_pairxor_hiadj_10_11.evaluate.py.log,adp=425696; frontend_target=425024,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-unknown-hybrid-r85/failed_hypotheses.csv,,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex297/aigs/ex297_r85_pairsel_pairxor_hiadj_10_11.aig,,ADP did not beat current frontend target,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex297/logs/ex297_r85_pairsel_pairxor_hiadj_10_11.evaluate.py.log,,,,use smaller residual logic or different output group
,,sub-unknown-hybrid-r85,ex297,,round85_source_output_graft,,,ex297|round85_source_output_graft|pairsel_base_celllocal_edge_bits_0_13|base=ex297_pairsel_r73|donors=ex297_celllocal_r73:0-13|yosys_internal_abc_g_aig|official_evaluate,EQUIVALENT_NONWINNING,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex297/verilog/ex297_r85_pairsel_celllocal_edges_0_13.v,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex297/logs/ex297_r85_pairsel_celllocal_edges_0_13.evaluate.py.log,adp=425888; frontend_target=425024,student/frontend_campaigns/campaigns/frontend_hybrid_parallel_round85_20260613_2139/agent_shards/sub-unknown-hybrid-r85/failed_hypotheses.csv,,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex297/aigs/ex297_r85_pairsel_celllocal_edges_0_13.aig,,ADP did not beat current frontend target,,student/work/frontend_hybrid_parallel_round85_20260613_2139/sub-unknown-hybrid-r85/ex297/logs/ex297_r85_pairsel_celllocal_edges_0_13.evaluate.py.log,,,,use smaller residual logic or different output group
