case,domain,agent_id,candidate_id,hypothesis,representation,shared_structure,sharing_strategy,synth_flow,structure,shared_nodes,output_bits,prior_low_value_signatures_avoided,status,evidence,evidence_path,result,notes
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_delta_bit_sat_shared_extra_share_raw,FP8 source predicate/table restructuring,ex244_r62_delta_bit_sat_shared + extra_share + raw,delta bits exposed as shared increment predicates with explicit saturation sharing,,,,,,,,,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_delta_bit_sat_shared_abc_g_aig_raw,FP8 source predicate/table restructuring,ex244_r62_delta_bit_sat_shared + abc_g_aig + raw,delta bits exposed as shared increment predicates with explicit saturation sharing,,,,,,,,,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_delta_bit_sat_shared_synth_preset_raw,FP8 source predicate/table restructuring,ex244_r62_delta_bit_sat_shared + synth_preset + raw,delta bits exposed as shared increment predicates with explicit saturation sharing,,,,,,,,,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_sig_gap_threshold_formula_default_raw,FP8 source predicate/table restructuring,ex244_r62_sig_gap_threshold_formula + default + raw,small residual threshold runs grouped by gap and max/min significand,,,,,,,,,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_sig_gap_threshold_formula_extra_share_raw,FP8 source predicate/table restructuring,ex244_r62_sig_gap_threshold_formula + extra_share + raw,small residual threshold runs grouped by gap and max/min significand,,,,,,,,,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_sig_gap_threshold_formula_abc_g_aig_raw,FP8 source predicate/table restructuring,ex244_r62_sig_gap_threshold_formula + abc_g_aig + raw,small residual threshold runs grouped by gap and max/min significand,,,,,,,,,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_sig_gap_threshold_formula_synth_preset_raw,FP8 source predicate/table restructuring,ex244_r62_sig_gap_threshold_formula + synth_preset + raw,small residual threshold runs grouped by gap and max/min significand,,,,,,,,,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_delta_bit_orbits_default_raw,FP8 source predicate/table restructuring,ex244_r62_delta_bit_orbits + default + raw,output-grouped delta-bit OR predicates without the max-eff BDD table,,,,,,,,,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_delta_bit_orbits_extra_share_raw,FP8 source predicate/table restructuring,ex244_r62_delta_bit_orbits + extra_share + raw,output-grouped delta-bit OR predicates without the max-eff BDD table,,,,,,,,,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_delta_bit_orbits_abc_g_aig_raw,FP8 source predicate/table restructuring,ex244_r62_delta_bit_orbits + abc_g_aig + raw,output-grouped delta-bit OR predicates without the max-eff BDD table,,,,,,,,,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex244,float_fp8,sub-fp8-addhyp-r62,ex244_ex244_r62_delta_bit_orbits_synth_preset_raw,FP8 source predicate/table restructuring,ex244_r62_delta_bit_orbits + synth_preset + raw,output-grouped delta-bit OR predicates without the max-eff BDD table,,,,,,,,,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_outbit_grouped_rawexp_default_raw,FP8 source predicate/table restructuring,ex249_r62_outbit_grouped_rawexp + default + raw,raw-exponent gap0/gap1 source with per-output-bit NaN/mag grouping,,,,,,,,,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_outbit_grouped_rawexp_extra_share_raw,FP8 source predicate/table restructuring,ex249_r62_outbit_grouped_rawexp + extra_share + raw,raw-exponent gap0/gap1 source with per-output-bit NaN/mag grouping,,,,,,,,,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_outbit_grouped_rawexp_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_r62_outbit_grouped_rawexp + abc_g_aig + raw,raw-exponent gap0/gap1 source with per-output-bit NaN/mag grouping,,,,,,,,,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_outbit_grouped_rawexp_synth_preset_raw,FP8 source predicate/table restructuring,ex249_r62_outbit_grouped_rawexp + synth_preset + raw,raw-exponent gap0/gap1 source with per-output-bit NaN/mag grouping,,,,,,,,,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_threshold_formula_grouped_default_raw,FP8 source predicate/table restructuring,ex249_r62_threshold_formula_grouped + default + raw,gap0/gap1 delta-bit threshold formulas with shared saturation output grouping,,,,,,,,,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_threshold_formula_grouped_extra_share_raw,FP8 source predicate/table restructuring,ex249_r62_threshold_formula_grouped + extra_share + raw,gap0/gap1 delta-bit threshold formulas with shared saturation output grouping,,,,,,,,,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_threshold_formula_grouped_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_r62_threshold_formula_grouped + abc_g_aig + raw,gap0/gap1 delta-bit threshold formulas with shared saturation output grouping,,,,,,,,,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_threshold_formula_grouped_synth_preset_raw,FP8 source predicate/table restructuring,ex249_r62_threshold_formula_grouped + synth_preset + raw,gap0/gap1 delta-bit threshold formulas with shared saturation output grouping,,,,,,,,,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_threshold_case_grouped_default_raw,FP8 source predicate/table restructuring,ex249_r62_threshold_case_grouped + default + raw,selected residual delta case table with shared saturation and output grouping,,,,,,,,,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_threshold_case_grouped_extra_share_raw,FP8 source predicate/table restructuring,ex249_r62_threshold_case_grouped + extra_share + raw,selected residual delta case table with shared saturation and output grouping,,,,,,,,,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_threshold_case_grouped_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_r62_threshold_case_grouped + abc_g_aig + raw,selected residual delta case table with shared saturation and output grouping,,,,,,,,,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_threshold_case_grouped_synth_preset_raw,FP8 source predicate/table restructuring,ex249_r62_threshold_case_grouped + synth_preset + raw,selected residual delta case table with shared saturation and output grouping,,,,,,,,,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_rawexp_grouped_rendered_default_raw,FP8 source predicate/table restructuring,ex249_r62_rawexp_grouped_rendered + default + raw,regenerated raw-exp residual table with grouped output muxing,,,,,,,,,,,synth=default; post=raw; project default proc/techmap/abc AND/aigmap
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_rawexp_grouped_rendered_extra_share_raw,FP8 source predicate/table restructuring,ex249_r62_rawexp_grouped_rendered + extra_share + raw,regenerated raw-exp residual table with grouped output muxing,,,,,,,,,,,synth=extra_share; post=raw; opt_reduce opt_muxtree wreduce share before techmap
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_rawexp_grouped_rendered_abc_g_aig_raw,FP8 source predicate/table restructuring,ex249_r62_rawexp_grouped_rendered + abc_g_aig + raw,regenerated raw-exp residual table with grouped output muxing,,,,,,,,,,,synth=abc_g_aig; post=raw; Yosys abc gate set aig
ex249,float_fp8,sub-fp8-addhyp-r62,ex249_ex249_r62_rawexp_grouped_rendered_synth_preset_raw,FP8 source predicate/table restructuring,ex249_r62_rawexp_grouped_rendered + synth_preset + raw,regenerated raw-exp residual table with grouped output muxing,,,,,,,,,,,synth=synth_preset; post=raw; Yosys synth -flatten then abc/aigmap
ex246,float_fp8,sub-fp8-muldiv-r62,ex246_r62_product_class_smallpat_semantic_default,E5M2FN packed multiply with product-class small residual pattern,semantic product-class source with formulaic 2-bit low-boundary residual / default,"shared sign xor, exponent sum, reachable product class, zero/saturation predicates, and tiny low-boundary pattern decoder",,,,,,,,,,,source-only RTL synthesis; no standalone AIG remap/post-processing
ex246,float_fp8,sub-fp8-muldiv-r62,ex246_r62_product_class_smallpat_semantic_synth_preset_aig,E5M2FN packed multiply with product-class small residual pattern,semantic product-class source with formulaic 2-bit low-boundary residual / synth_preset_aig,"shared sign xor, exponent sum, reachable product class, zero/saturation predicates, and tiny low-boundary pattern decoder",,,,,,,,,,,source-only RTL synthesis; no standalone AIG remap/post-processing
ex246,float_fp8,sub-fp8-muldiv-r62,ex246_r62_keybdd_exp_product_default,E5M2FN packed multiply with semantic-key cofactor output grouping,reduced BDD/cofactor source over exponent-sum then product bits / default,"shared sign xor, exponent sum/product key, and cross-output BDD cofactors for selected product boundary behavior",,,,,,,,,,,source-only RTL synthesis; no standalone AIG remap/post-processing
ex246,float_fp8,sub-fp8-muldiv-r62,ex246_r62_keybdd_exp_product_synth_preset_aig,E5M2FN packed multiply with semantic-key cofactor output grouping,reduced BDD/cofactor source over exponent-sum then product bits / synth_preset_aig,"shared sign xor, exponent sum/product key, and cross-output BDD cofactors for selected product boundary behavior",,,,,,,,,,,source-only RTL synthesis; no standalone AIG remap/post-processing
ex247,float_fp8,sub-fp8-muldiv-r62,ex247_r62_selected_bit0_cofactor_default,E5M2FN packed low-over-high division with selected-bit residual cofactor,sigpair class source with output bit 0 replaced by semantic-key BDD residual / default,"shared special shell, exponent delta, sigpair class table, and selected output-bit BDD residual",,,,,,,,,,,source-only RTL synthesis; no standalone AIG remap/post-processing
ex247,float_fp8,sub-fp8-muldiv-r62,ex247_r62_selected_bit0_cofactor_synth_preset_aig,E5M2FN packed low-over-high division with selected-bit residual cofactor,sigpair class source with output bit 0 replaced by semantic-key BDD residual / synth_preset_aig,"shared special shell, exponent delta, sigpair class table, and selected output-bit BDD residual",,,,,,,,,,,source-only RTL synthesis; no standalone AIG remap/post-processing
ex247,float_fp8,sub-fp8-muldiv-r62,ex247_r62_qclass_smallpat_nested_den_default,E5M2FN packed low-over-high division with quotient-class small residual pattern,denominator-nested quotient class plus formulaic low-underflow pattern / default,"shared special shell, exponent delta, denominator-nested quotient predicates, rounding/saturation predicates, and tiny low-boundary pattern decoder",,,,,,,,,,,source-only RTL synthesis; no standalone AIG remap/post-processing
ex247,float_fp8,sub-fp8-muldiv-r62,ex247_r62_qclass_smallpat_nested_den_synth_preset_aig,E5M2FN packed low-over-high division with quotient-class small residual pattern,denominator-nested quotient class plus formulaic low-underflow pattern / synth_preset_aig,"shared special shell, exponent delta, denominator-nested quotient predicates, rounding/saturation predicates, and tiny low-boundary pattern decoder",,,,,,,,,,,source-only RTL synthesis; no standalone AIG remap/post-processing
ex285,,sub-unk285-r62,ex285_r62_output_value_cube_cover,,,,,,output_value_casez_cube_cover,cubes=4096;unique_outputs=903,out[11:0],,,student/work/frontend_source_parallel_round62_20260613_0907/sub-unk285-r62/ex285/diagnostics/shared_structure_screen.md,,source_model_exact,low-depth table/source side of recording-guided mixed search; not a decision-tree replay
ex285,,sub-unk285-r62,ex285_r62_singlepair45_orbit_case,,,,,,single_swap45_invariant_orbit_output_case,orbit_keys=3072;conflicts=0,out[11:0],,,student/work/frontend_source_parallel_round62_20260613_0907/sub-unk285-r62/ex285/diagnostics/shared_structure_screen.md,,source_model_exact,output grouping by invariant classes; not round60 two-pair selector/canoninput/countkey residual replay
ex285,,sub-unk285-r62,ex285_r62_nonlin_state_mixed_case,,,,,,nonlinear_popcount_edge_pair_quadrant_state_with_collision_local_cases,states=3339;direct=2890;residual_states=449,out[11:0],,,student/work/frontend_source_parallel_round62_20260613_0907/sub-unk285-r62/ex285/diagnostics/shared_structure_screen.md,,source_model_exact,"shared descriptor side of mixed search; residual is per-collision local case, not round60 selector-delta table"
ex285,,sub-unk285-r62,ex285_r62_popcount_layer_canonical_residual,,,,,,popcount_layer_modal_output_plus_residual_screen,layers=13;residual_rows=3923,out[11:0],,,student/work/frontend_source_parallel_round62_20260613_0907/sub-unk285-r62/ex285/diagnostics/shared_structure_screen.md,,blocked_no_candidate,residual shrink not measured enough; blocked to avoid another large residual-table source
ex297,unknown,sub-unklarge-r62,,cell_descriptor_residual,adjhist_distance2_local,,nonlinear full-ring descriptor majority residual,no_synth_blocked_before_yosys,,,,symbol-plane replay; default_out factoring; cell-prefix bridge; transformed-coordinate grouped BDD; round60 ring-prefix selected ANF/LUT,blocked_no_candidate,,student/work/frontend_source_parallel_round62_20260613_0907/sub-unklarge-r62/ex297/diagnostics/ex297_r62_source_screening.csv,,best variant did not justify RTL emission
ex297,unknown,sub-unklarge-r62,,compact_recurrence_state,poly_state8,,bidirectional compact recurrence state predicts output cells,no_synth_blocked_before_yosys,,,,symbol-plane replay; default_out factoring; cell-prefix bridge; transformed-coordinate grouped BDD; round60 ring-prefix selected ANF/LUT,blocked_no_candidate,,student/work/frontend_source_parallel_round62_20260613_0907/sub-unklarge-r62/ex297/diagnostics/ex297_r62_source_screening.csv,,best variant did not justify RTL emission
ex297,unknown,sub-unklarge-r62,,invariant_output_grouping,xor_same,,input-relative residual grouped by invariant/local classes,no_synth_blocked_before_yosys,,,,symbol-plane replay; default_out factoring; cell-prefix bridge; transformed-coordinate grouped BDD; round60 ring-prefix selected ANF/LUT,blocked_no_candidate,,student/work/frontend_source_parallel_round62_20260613_0907/sub-unklarge-r62/ex297/diagnostics/ex297_r62_source_screening.csv,,best variant did not justify RTL emission
ex299,unknown,sub-unklarge-r62,,cell_descriptor_residual,adjhist_distance2_local,,nonlinear full-ring descriptor majority residual,no_synth_blocked_before_yosys,,,,symbol-plane replay; default_out factoring; cell-prefix bridge; transformed-coordinate grouped BDD; round60 ring-prefix selected ANF/LUT,blocked_no_candidate,,student/work/frontend_source_parallel_round62_20260613_0907/sub-unklarge-r62/ex299/diagnostics/ex299_r62_source_screening.csv,,best variant did not justify RTL emission
ex299,unknown,sub-unklarge-r62,,compact_recurrence_state,poly_state8,,bidirectional compact recurrence state predicts output cells,no_synth_blocked_before_yosys,,,,symbol-plane replay; default_out factoring; cell-prefix bridge; transformed-coordinate grouped BDD; round60 ring-prefix selected ANF/LUT,blocked_no_candidate,,student/work/frontend_source_parallel_round62_20260613_0907/sub-unklarge-r62/ex299/diagnostics/ex299_r62_source_screening.csv,,best variant did not justify RTL emission
ex299,unknown,sub-unklarge-r62,,invariant_output_grouping,xor_same,,input-relative residual grouped by invariant/local classes,no_synth_blocked_before_yosys,,,,symbol-plane replay; default_out factoring; cell-prefix bridge; transformed-coordinate grouped BDD; round60 ring-prefix selected ANF/LUT,blocked_no_candidate,,student/work/frontend_source_parallel_round62_20260613_0907/sub-unklarge-r62/ex299/diagnostics/ex299_r62_source_screening.csv,,best variant did not justify RTL emission
ex297,unknown,sub-unklarge-r62,,cell descriptor with proven residual shrink,adjhist_distance2_shared_default_residual,,"one shared default function over adjacent and distance-2 symbol-pair histogram keys, then sparse raw-input residual overrides",repo_yosys_synth_sv_default_abc_g_AND,,,,symbol-plane replay; default_out factoring; cell-prefix bridge; transformed-coordinate grouped BDD; r60 ring-prefix selected ANF/LUT,SYNTH_FAILED,,student/work/frontend_source_parallel_round62_20260613_0907/sub-unklarge-r62/ex297/notes/ex297_r62_adjhist_distance2_shared_default_residual.emit_summary.json,,default_entries=30752; row_overrides=2737; cell_exceptions=3808
