case,candidate_id,simulator,status,log_path,agent_id,run_id,notes
ex205,ex205_outputcofactor_hi8_low8_abc_g_aig,iverilog,not_run,,,ex200_ex299_frontend_refgap_round16_20260612_2233,debug simulation skipped; official evaluate.py was used for candidate acceptance
ex218,ex218_outputcofactor_hi8_low8_abc_g_aig,iverilog,not_run,,,ex200_ex299_frontend_refgap_round16_20260612_2233,debug simulation skipped; official evaluate.py was used for candidate acceptance
ex274,ex274_r16_hybrid_bddtop2_trunc_factored_abc_g_aig,,pass,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex274,ex274_r16_hybrid_bddtop2_trunc_factored_synth_preset_d16,,pass,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex274,ex274_r16_wallace_square_factored_csel8_abc_g_aig,,pass,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex274,ex274_r16_wallace_square_factored_csel8_synth_preset_d16,,pass,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex266,ex266_r16_cof_bhi2_a4_threshold_wordmux_abc_g_aig,,pass,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex266,ex266_r16_cof_bhi2_a4_threshold_wordmux_synth_preset_d8,,pass,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex266,ex266_r16_cof_bhi3_a4_threshold_wordmux_abc_g_aig,,pass,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex266,ex266_r16_cof_bhi3_a4_threshold_wordmux_synth_preset_d8,,pass,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex260,ex260_r16_baugh_wooley_wallace_rev_rhcla4_abc_g_aig,,pass,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex260,ex260_r16_baugh_wooley_wallace_rev_rhcla4_synth_preset_d9,,pass,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex260,ex260_r16_baugh_wooley_wallace4_rev_hcla4_abc_g_aig,,pass,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex260,ex260_r16_baugh_wooley_wallace4_rev_hcla4_synth_preset_d9,,pass,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex270,ex270_r16_dadda_square_csel4_abc_g_aig,,pass,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex276,ex276_r16_radix4_wires_abc_g_aig,,pass,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex276,ex276_r16_radix4_wires_synth_preset_d8,,pass,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex286,ex286_r16_movement_edge_delta_shared_bdd_known_pairs_then_outside_in_abc_g_aig,,PASS,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex286,ex286_r16_output_gray_neighbor_shared_bdd_known_pairs_then_outside_in_abc_g_aig,,PASS,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex287,ex287_r16_movement_edge_delta_shared_bdd_known_pairs_then_outside_in_abc_g_aig,,PASS,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex287,ex287_r16_output_gray_neighbor_shared_bdd_known_pairs_then_outside_in_abc_g_aig,,PASS,,,ex200_ex299_frontend_refgap_round16_20260612_2233,
ex297,ex297_r16_descriptor_key_split_abc_g_aig,python_exhaustive_model,PASS,,unknown-state-r16,ex200_ex299_frontend_refgap_round16_20260612_2233,exhaustive Python model matches truth table before Yosys and official evaluate.py
ex297,ex297_r16_cell_pairs_grouped_bdd_abc_g_aig,python_exhaustive_model,PASS,,unknown-state-r16,ex200_ex299_frontend_refgap_round16_20260612_2233,exhaustive Python model matches truth table before Yosys and official evaluate.py
ex299,ex299_r16_descriptor_key_split_abc_g_aig,python_exhaustive_model,PASS,,unknown-state-r16,ex200_ex299_frontend_refgap_round16_20260612_2233,exhaustive Python model matches truth table before Yosys and official evaluate.py
ex299,ex299_r16_cell_pairs_grouped_bdd_abc_g_aig,python_exhaustive_model,PASS,,unknown-state-r16,ex200_ex299_frontend_refgap_round16_20260612_2233,exhaustive Python model matches truth table before Yosys and official evaluate.py
