round,run_id,agent_id,case,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,notes,shard_csv,shared_structure,descriptor_bits,output_grouping,method_signature,status,observations,next_action
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex244,ex244_r84_desc_word_case,descriptor_cofactored_output_grouping,1,8,expose one descriptor shared by all output groups,1472,35,51520,nonwinning rows still record structural evidence,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/shared_structure_report.csv,shared FP8 field descriptor before output lookup,15,full_word,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex246,ex246_r84_desc_nibble_cofactor,descriptor_cofactored_output_grouping,1,8,expose one descriptor shared by all output groups,715,32,22880,nonwinning rows still record structural evidence,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/shared_structure_report.csv,shared FP8 field descriptor before output lookup,14,nibble_split,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-structural-r84,ex244,ex244_r84_desc_nibble_cofactor,descriptor_cofactored_output_grouping,1,8,expose one descriptor shared by all output groups,1384,39,53976,nonwinning rows still record structural evidence,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-structural-r84/shared_structure_report.csv,shared FP8 field descriptor before output lookup,15,nibble_split,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-wide-r84,ex249,ex249_r84_semantic_hypot_delta_bdd_interleave_synth_preset,semantic_coordinate_bdd,,8,test materially different frontend representation for area/delay tradeoff,219,41,8979,maxc/minc decode; BDD roots for delta[3:0]; saturation add,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-wide-r84/shared_structure_report.csv,maxc/minc decode; BDD roots for delta[3:0]; saturation add,,full_word,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-wide-r84,ex249,ex249_r84_truth_bdd_field_synth_preset,truth_bdd,,8,test materially different frontend representation for area/delay tradeoff,755,23,17365,full-output shared decision network ordered by sign/exponent/mantissa fields,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-wide-r84/shared_structure_report.csv,full-output shared decision network ordered by sign/exponent/mantissa fields,,full_word,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-wide-r84,ex241,ex241_r84_semantic_mul_product_table_synth_preset,semantic_nested_table,,8,test materially different frontend representation for area/delay tradeoff,758,35,26530,product and exp_sum feed all output bits,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-wide-r84/shared_structure_report.csv,product and exp_sum feed all output bits,,full_word,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-wide-r84,ex241,ex241_r84_truth_bdd_field_synth_preset,truth_bdd,,8,test materially different frontend representation for area/delay tradeoff,2134,22,46948,full-output shared decision network ordered by sign/exponent/mantissa fields,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-wide-r84/shared_structure_report.csv,full-output shared decision network ordered by sign/exponent/mantissa fields,,full_word,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-wide-r84,ex240,ex240_r84_semantic_add_norm_synth_preset,semantic_normalizer,,8,test materially different frontend representation for area/delay tradeoff,1040,89,92560,fp8 magnitude decode; signed add/sub; exact RNE quantizer,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-wide-r84/shared_structure_report.csv,fp8 magnitude decode; signed add/sub; exact RNE quantizer,,full_word,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-wide-r84,ex240,ex240_r84_truth_bdd_interleave_synth_preset,truth_bdd,,8,test materially different frontend representation for area/delay tradeoff,2712,24,65088,full-output shared decision network over interleaved byte fields,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-wide-r84/shared_structure_report.csv,full-output shared decision network over interleaved byte fields,,full_word,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-wide-r84,ex245,ex245_r84_semantic_add_split_bdd_interleave_synth_preset,semantic_coordinate_bdd,,8,test materially different frontend representation for area/delay tradeoff,1208,36,43488,max/min magnitude decode; same and diff BDD roots,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-wide-r84/shared_structure_report.csv,max/min magnitude decode; same and diff BDD roots,,full_word,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-fp8-wide-r84,ex245,ex245_r84_semantic_add_gap4_norm_synth_preset,semantic_normalizer,,8,test materially different frontend representation for area/delay tradeoff,700,72,50400,same/diff paths share local normalizer and gap guards,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-fp8-wide-r84/shared_structure_report.csv,same/diff paths share local normalizer and gap guards,,full_word,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-unknown-descriptor-r84,ex297,ex297_r84_cyclic2_symbol_descriptor,descriptor_screen_completed,0,14,no compact exact shared root found before RTL,,,,best cyclic exact only full ring 16384 entries; bdd r2 1775 subfunctions but no deterministic root,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-descriptor-r84/shared_structure_report.csv,cyclic_2bit_state_plus_adjacency_residual,full_ring_or_conflicting,ring_segmented_outputs_conflicting,,,,
round84,frontend_radical_parallel_round84_20260613_2103,sub-unknown-descriptor-r84,ex299,ex299_r84_cyclic2_symbol_descriptor,descriptor_screen_completed,0,16,no compact exact shared root found before RTL,,,,best cyclic exact only full ring 65536 entries; best adjacency residual 104168 samples; bdd r2 2730 subfunctions,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-descriptor-r84/shared_structure_report.csv,cyclic_2bit_state_plus_adjacency_residual,full_ring_or_conflicting,ring_segmented_outputs_conflicting,,,,
,,sub-unknown-route-r84,ex285,,,,,,,,,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-route-r84/shared_structure_report.csv,shared popcount layer plus coarse sorted one-position bounds,,,ex285|hamming_weight_preserving_lossy_routing_normalizer|sorted_position_descriptor|shared_popcount_layer_plus_coarse_sorted_one-position_bounds|yosys_internal_abc_g_aig|official_evaluate|full_word_delta_groups,evaluated,selected_groups=19; selected_rows=38; conflict_keys=625; conflicted_rows=2654,"If this remains nonwinning, try a nonlinear state that avoids unique sorted-position residuals."
,,sub-unknown-route-r84,ex285,,,,,,,,,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-route-r84/shared_structure_report.csv,shared edge/middle lane counts plus known pair OR/AND states,,,ex285|hamming_weight_preserving_lossy_routing_normalizer|edge_middle_lane_state|shared_edge/middle_lane_counts_plus_known_pair_OR/AND_states|yosys_internal_abc_g_aig|official_evaluate|full_word_delta_groups,blocked_before_verilog,descriptor produced only 0 selected rows across 0 groups; conflict_keys=1048; conflicted_rows=3328,"If lane states do not cover enough exact delta groups, try inverse-route transition states."
,,sub-unknown-route-r84,ex288,,,,,,,,,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-route-r84/shared_structure_report.csv,shared output-edge and input/output delta lane predicates,,,ex288|hamming_weight_preserving_lossy_routing_normalizer|inverse_route_normalizer|shared_output-edge_and_input/output_delta_lane_predicates|yosys_internal_abc_g_aig|official_evaluate|full_word_delta_groups,blocked_before_verilog,descriptor produced only 0 selected rows across 0 groups; conflict_keys=3017; conflicted_rows=32557,"If inverse-route states need too many exact groups, try low-rank GF(2)+residual groups."
,,sub-unknown-route-r84,ex288,,,,,,,,,,student/frontend_campaigns/campaigns/frontend_radical_parallel_round84_20260613_2103/agent_shards/sub-unknown-route-r84/shared_structure_report.csv,shared edge/middle lane counts plus known pair OR/AND states,,,ex288|hamming_weight_preserving_lossy_routing_normalizer|edge_middle_lane_state|shared_edge/middle_lane_counts_plus_known_pair_OR/AND_states|yosys_internal_abc_g_aig|official_evaluate|full_word_delta_groups,blocked_before_verilog,descriptor produced only 0 selected rows across 0 groups; conflict_keys=5728; conflicted_rows=30976,"If lane states do not cover enough exact delta groups, try inverse-route transition states."
