round,run_id,agent_id,case,domain,candidate_id,structure_type,shared_signal_count,outputs_covered,expected_effect,observed_area,observed_delay,observed_adp,shared_nodes,residual_key,residual_entries,output_grouping,evidence_path,notes,family,shared_structure,shard_csv,descriptor,keys,conflict_keys,node_count,max_outputs_per_key
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex216,,ex216_r97_cube_selected_predicate_overlay_bits_11_cmp_abc_and,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex216/logs/ex216_r97_cube_selected_predicate_overlay_bits_11_cmp_abc_and.evaluate.py.log,selected exact output predicate overlay bits=11 mode=cmp items=78,selected_predicate_overlay,shared sign_exp/mant decode plus selected output correction,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex216,,ex216_r97_cube_small_lut_selected_overlay_bits_12_bh2_abc_and,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex216/logs/ex216_r97_cube_small_lut_selected_overlay_bits_12_bh2_abc_and.evaluate.py.log,selected exact output predicate overlay bits=12 mode=2 items=132,small_lut_selected_overlay,shared sign_exp/mant decode plus selected output correction,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex218,,ex218_r97_reciprocal_cube_selected_predicate_overlay_bits_14_cmp_abc_aig,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex218/logs/ex218_r97_reciprocal_cube_selected_predicate_overlay_bits_14_cmp_abc_aig.evaluate.py.log,selected exact output predicate overlay bits=14 mode=cmp items=20,selected_predicate_overlay,shared sign_exp/mant decode plus selected output correction,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex218,,ex218_r97_reciprocal_cube_selected_predicate_overlay_bits_13_cmp_abc_aig,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex218/logs/ex218_r97_reciprocal_cube_selected_predicate_overlay_bits_13_cmp_abc_aig.evaluate.py.log,selected exact output predicate overlay bits=13 mode=cmp items=30,selected_predicate_overlay,shared sign_exp/mant decode plus selected output correction,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex218,,ex218_r97_reciprocal_cube_small_lut_selected_overlay_bits_12_bh2_abc_aig,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex218/logs/ex218_r97_reciprocal_cube_small_lut_selected_overlay_bits_12_bh2_abc_aig.evaluate.py.log,selected exact output predicate overlay bits=12 mode=2 items=180,small_lut_selected_overlay,shared sign_exp/mant decode plus selected output correction,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex219,,ex219_r97_reciprocal_cbrt_selected_predicate_overlay_bits_5_cmp_abc_and,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex219/logs/ex219_r97_reciprocal_cbrt_selected_predicate_overlay_bits_5_cmp_abc_and.evaluate.py.log,selected exact output predicate overlay bits=5 mode=cmp items=1186,selected_predicate_overlay,shared sign_exp/mant decode plus selected output correction,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex219,,ex219_r97_reciprocal_cbrt_selected_predicate_overlay_bits_7_cmp_abc_and,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex219/logs/ex219_r97_reciprocal_cbrt_selected_predicate_overlay_bits_7_cmp_abc_and.evaluate.py.log,selected exact output predicate overlay bits=7 mode=cmp items=430,selected_predicate_overlay,shared sign_exp/mant decode plus selected output correction,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex219,,ex219_r97_reciprocal_cbrt_small_lut_selected_overlay_bits_5_bh2_abc_and,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex219/logs/ex219_r97_reciprocal_cbrt_small_lut_selected_overlay_bits_5_bh2_abc_and.evaluate.py.log,selected exact output predicate overlay bits=5 mode=2 items=4402,small_lut_selected_overlay,shared sign_exp/mant decode plus selected output correction,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex216,,ex216_r97_cube_hand_cube_guard_lut_abc_aig,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex216/logs/ex216_r97_cube_hand_cube_guard_lut_abc_aig.evaluate.py.log,hand guarded cube semantic mod1 RTL; mant_table_items=127,semantic_exponent_affine_shell,BF16 sign/special shell; exponent-affine base; compact mantissa table,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex216,,ex216_r97_cube_hand_cube_guard_lut_abc_gates,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex216/logs/ex216_r97_cube_hand_cube_guard_lut_abc_gates.evaluate.py.log,hand guarded cube semantic mod1 RTL; mant_table_items=127,semantic_exponent_affine_shell,BF16 sign/special shell; exponent-affine base; compact mantissa table,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex218,,ex218_r97_reciprocal_cube_hand_recip_cube_guard_lut_normal_first_abc_aig,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex218/logs/ex218_r97_reciprocal_cube_hand_recip_cube_guard_lut_normal_first_abc_aig.evaluate.py.log,hand guarded recip_cube semantic mod1 RTL; mant_table_items=127,semantic_exponent_affine_shell,BF16 sign/special shell; exponent-affine base; compact mantissa table,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex218,,ex218_r97_reciprocal_cube_hand_recip_cube_guard_lut_normal_first_abc_gates,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex218/logs/ex218_r97_reciprocal_cube_hand_recip_cube_guard_lut_normal_first_abc_gates.evaluate.py.log,hand guarded recip_cube semantic mod1 RTL; mant_table_items=127,semantic_exponent_affine_shell,BF16 sign/special shell; exponent-affine base; compact mantissa table,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex219,,ex219_r97_reciprocal_cbrt_hand_recip_cbrt_guard_lut_expcase_abc_aig,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex219/logs/ex219_r97_reciprocal_cbrt_hand_recip_cbrt_guard_lut_expcase_abc_aig.evaluate.py.log,hand guarded recip_cbrt exp-class semantic RTL; table_items=381,semantic_exponent_mod3_shell,BF16 sign/special shell; exponent-affine base; compact mantissa table,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-bf16-rootpower-r97,ex219,,ex219_r97_reciprocal_cbrt_hand_recip_cbrt_guard_lut_expcase_abc_gates,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-bf16-rootpower-r97/ex219/logs/ex219_r97_reciprocal_cbrt_hand_recip_cbrt_guard_lut_expcase_abc_gates.evaluate.py.log,hand guarded recip_cbrt exp-class semantic RTL; table_items=381,semantic_exponent_mod3_shell,BF16 sign/special shell; exponent-affine base; compact mantissa table,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-bf16-rootpower-r97/shared_structure_report.csv,,,,,
,,sub-unknown286-dg-r97,ex286,,,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-unknown286-dg-r97/ex286/diagnostics/ex286_round97_deepstruct_screen.csv,exact but table-scale,deep_descriptor,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-unknown286-dg-r97/shared_structure_report.csv,exact_bucket_selector_guardrail,4608,0,4608,1
,,sub-unknown286-dg-r97,ex286,,,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-unknown286-dg-r97/ex286/diagnostics/ex286_round97_deepstruct_screen.csv,best bounded learned predicate tree remains conflicted,decision_graph,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-unknown286-dg-r97/shared_structure_report.csv,semantic_predicate_tree_depth14,3710,174,7419,6
,,sub-unknown286-dg-r97,ex286,,,,,,,,,,,,,,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-unknown286-dg-r97/ex286/diagnostics/ex286_round97_gf2_feature_span.csv,no exact output bits or output-linear combinations,gf2_feature_span,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-unknown286-dg-r97/shared_structure_report.csv,semantic_predicates_deg2_with_selectors,4657,0,598,0
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-unknown287-dg-r97,ex287,unknown,ex287_r97_sanity,popcount_and_known_swap_invariants,4,14,confirm conservative routing clue,,,,2609,unique_outputs,16384,full_word,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-unknown287-dg-r97/ex287/diagnostics/ex287_round97_sanity.csv,popcount exact over all rows; known swaps confirmed separately,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-unknown287-dg-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-unknown287-dg-r97,ex287,unknown,ex287_r97_pair_route_mod4_histogram,descriptor_residual_bdd_screen,20,0,recover compact routing-state descriptor,,,,8012,pair_route_mod4_histogram,10800,full_word,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-unknown287-dg-r97/ex287/diagnostics/ex287_round97_descriptor_screen.csv,non-exact with 4044 conflict keys and no exact output bits,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-unknown287-dg-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-unknown287-dg-r97,ex287,unknown,ex287_r97_low_weight_orbit_adjacent_signature,exact_descriptor_mdd_screen,27,14,test whether adjacent-orbit signature gives compact exact state,,,,69679,low_weight_orbit_adjacent_signature,16320,full_word,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-unknown287-dg-r97/ex287/diagnostics/ex287_round97_descriptor_screen.csv,exact but table-scale; no RTL emitted,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-unknown287-dg-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-unknown287-dg-r97,ex287,unknown,ex287_r97_raw_sympair_laneparity_degree3,gf2_feature_basis_screen,3304,0,find compact ANF/GF2 shared output basis,,,,696,raw_sympair_laneparity_degree3,3304,full_word,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-unknown287-dg-r97/ex287/diagnostics/ex287_round97_gf2_feature_basis.csv,zero exact output bits and output-linear nullity zero,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-unknown287-dg-r97/shared_structure_report.csv,,,,,
97,frontend_gt15_deepstruct_round97_20260614_0724,sub-unknown287-dg-r97,ex287,unknown,ex287_r97_greedy_shared_predicate_d8,decision_graph_screen,36,0,test bounded learned shared-predicate decision graph,,,,246,conflict_leaves,255,full_word,student/work/frontend_gt15_deepstruct_round97_20260614_0724/sub-unknown287-dg-r97/ex287/diagnostics/ex287_round97_decision_graph_screen.csv,depth 8 still has 246 conflicted leaves,,,student/frontend_campaigns/campaigns/frontend_gt15_deepstruct_round97_20260614_0724/agent_shards/sub-unknown287-dg-r97/shared_structure_report.csv,,,,,
