round,run_id,agent_id,case,domain,candidate_id,family,hypothesis,representation,sharing_strategy,shared_structure,synth_flow,method_signature,verilog_path,aig_path,log_path,evaluate_log,official_status,equivalent,simulation_pass,area,delay,adp,reference_adp,current_adp,frontend_best_adp,beats_frontend,beats_current,beats_reference,notes,shard_csv,status
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex260,integer,ex260_r80_quadrant_word_lut_abc_g_aig,sign_quadrant_word_lut,signed_low4_high4_multiply,sign quadrant local product words,one low6 key drives four signed quadrant output words,shared low magnitude key plus sign-pair word mux,abc_g_aig,ex260|signed_low4_high4_multiply|sign quadrant local product words|one low6 key drives four signed quadrant output words|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_r79_boundary_or_booth,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/verilog/ex260_r80_quadrant_word_lut.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/aigs/ex260_r80_quadrant_word_lut_abc_g_aig.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/logs/ex260_r80_quadrant_word_lut_abc_g_aig.yosys.log,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/official_eval/ex260_r80_quadrant_word_lut_abc_g_aig/ex260_r80_quadrant_word_lut_abc_g_aig.evaluate.py.log,OK,1,not_run,227,11,2497,657,1066,1131,0,0,0,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/candidates.csv,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex260,integer,ex260_r80_bias_correct_unsigned_synth_preset_d13,bias_corrected_unsigned_core,signed_low4_high4_multiply,unsigned 4x4 product minus sign-bias rows,shared unsigned product with two sign correction shifts,unsigned product plus correction buses,synth_preset_d13,ex260|signed_low4_high4_multiply|unsigned 4x4 product minus sign-bias rows|shared unsigned product with two sign correction shifts|yosys_synth_preset_d13|abc_xf_official_evaluate|not_r75_r79_boundary_or_booth,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/verilog/ex260_r80_bias_correct_unsigned.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/aigs/ex260_r80_bias_correct_unsigned_synth_preset_d13.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/logs/ex260_r80_bias_correct_unsigned_synth_preset_d13.yosys.log,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex260/official_eval/ex260_r80_bias_correct_unsigned_synth_preset_d13/ex260_r80_bias_correct_unsigned_synth_preset_d13.evaluate.py.log,OK,1,not_run,131,19,2489,657,1066,1131,0,0,0,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/candidates.csv,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex266,integer,ex266_r80_mixed_region_udiv_synth_preset_d10,mixed_region_divider,unsigned_low5_high5_div_dbz_sat,power-of-two and high-divisor regions plus local direct low region,shared high-divisor q<=2 predicates before low-region division,dbz/pow2/high-divisor guards and compact residual low region,synth_preset_d10,ex266|unsigned_low5_high5_div_dbz_sat|power-of-two and high-divisor regions plus local direct low region|shared high-divisor q<=2 predicates before low-region division|yosys_synth_preset_d10|abc_xf_official_evaluate|not_r75_r79_wordmux_or_serial_recurrence,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/verilog/ex266_r80_mixed_region_udiv.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/aigs/ex266_r80_mixed_region_udiv_synth_preset_d10.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/logs/ex266_r80_mixed_region_udiv_synth_preset_d10.yosys.log,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/official_eval/ex266_r80_mixed_region_udiv_synth_preset_d10/ex266_r80_mixed_region_udiv_synth_preset_d10.evaluate.py.log,OK,1,not_run,89,28,2492,848,1296,1480,0,0,0,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/candidates.csv,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex266,integer,ex266_r80_parallel_topbits_abc_g_aig,parallel_topbit_thresholds,unsigned_low5_high5_div_dbz_sat,parallel q>=16/8/4/2/1 threshold class with exact b=1 residual,top quotient class shares shifted divisor comparisons,parallel top-class threshold predicates,abc_g_aig,ex266|unsigned_low5_high5_div_dbz_sat|parallel q>=16/8/4/2/1 threshold class with exact b=1 residual|top quotient class shares shifted divisor comparisons|yosys_abc_g_aig|abc_xf_official_evaluate|not_r75_r79_wordmux_or_serial_recurrence,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/verilog/ex266_r80_parallel_topbits.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/aigs/ex266_r80_parallel_topbits_abc_g_aig.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/logs/ex266_r80_parallel_topbits_abc_g_aig.yosys.log,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex266/official_eval/ex266_r80_parallel_topbits_abc_g_aig/ex266_r80_parallel_topbits_abc_g_aig.evaluate.py.log,OK,1,not_run,160,40,6400,848,1296,1480,0,0,0,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/candidates.csv,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex265,integer,ex265_r80_mixed_region_udiv_synth_preset_d10,mixed_region_divider,unsigned_low4_high4_div_dbz_sat,power-of-two and high-divisor regions plus local direct low region,shared high-divisor q<=2 predicates before low-region division,dbz/pow2/high-divisor guards and compact residual low region,synth_preset_d10,ex265|unsigned_low4_high4_div_dbz_sat|power-of-two and high-divisor regions plus local direct low region|shared high-divisor q<=2 predicates before low-region division|yosys_synth_preset_d10|abc_xf_official_evaluate|not_r74_threshold_or_divisor_case_exact,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex265/verilog/ex265_r80_mixed_region_udiv.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex265/aigs/ex265_r80_mixed_region_udiv_synth_preset_d10.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex265/logs/ex265_r80_mixed_region_udiv_synth_preset_d10.yosys.log,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex265/official_eval/ex265_r80_mixed_region_udiv_synth_preset_d10/ex265_r80_mixed_region_udiv_synth_preset_d10.evaluate.py.log,OK,1,not_run,49,18,882,322,364,504,0,0,0,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/candidates.csv,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex267,integer,ex267_r80_mixed_region_udiv_synth_preset_d18,mixed_region_divider,unsigned_low6_high6_div_dbz_sat,power-of-two and high-divisor regions plus local direct low region,shared high-divisor q<=2 predicates before low-region division,dbz/pow2/high-divisor guards and compact residual low region,synth_preset_d18,ex267|unsigned_low6_high6_div_dbz_sat|power-of-two and high-divisor regions plus local direct low region|shared high-divisor q<=2 predicates before low-region division|yosys_synth_preset_d18|abc_xf_official_evaluate|not_r74_threshold_or_divisor_case_exact,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex267/verilog/ex267_r80_mixed_region_udiv.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex267/aigs/ex267_r80_mixed_region_udiv_synth_preset_d18.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex267/logs/ex267_r80_mixed_region_udiv_synth_preset_d18.yosys.log,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex267/official_eval/ex267_r80_mixed_region_udiv_synth_preset_d18/ex267_r80_mixed_region_udiv_synth_preset_d18.evaluate.py.log,OK,1,not_run,142,40,5680,2651,3444,4080,0,0,0,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/candidates.csv,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex270,integer,ex270_r80_square_balanced_term_tree_abc_g_aig,balanced_square_term_tree,unsigned_square_x_times_x,balanced adder tree over diagonal and doubled cross terms,each square cross term generated once before balanced source adds,shared square partial products with balanced source tree,abc_g_aig,ex270|unsigned_square_x_times_x|balanced adder tree over diagonal and doubled cross terms|each square cross term generated once before balanced source adds|yosys_abc_g_aig|abc_xf_official_evaluate|not_round27_wallace_csel3,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex270/verilog/ex270_r80_square_balanced_term_tree.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex270/aigs/ex270_r80_square_balanced_term_tree_abc_g_aig.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex270/logs/ex270_r80_square_balanced_term_tree_abc_g_aig.yosys.log,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex270/official_eval/ex270_r80_square_balanced_term_tree_abc_g_aig/ex270_r80_square_balanced_term_tree_abc_g_aig.evaluate.py.log,OK,1,not_run,209,30,6270,2076,2786,3230,0,0,0,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/candidates.csv,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex273,integer,ex273_r80_square_balanced_term_tree_synth_preset_d32,balanced_square_term_tree,unsigned_square_x_times_x,balanced adder tree over diagonal and doubled cross terms,each square cross term generated once before balanced source adds,shared square partial products with balanced source tree,synth_preset_d32,ex273|unsigned_square_x_times_x|balanced adder tree over diagonal and doubled cross terms|each square cross term generated once before balanced source adds|yosys_synth_preset_d32|abc_xf_official_evaluate|not_r26_wallace_or_bddtop_recut,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex273/verilog/ex273_r80_square_balanced_term_tree.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex273/aigs/ex273_r80_square_balanced_term_tree_synth_preset_d32.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex273/logs/ex273_r80_square_balanced_term_tree_synth_preset_d32.yosys.log,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex273/official_eval/ex273_r80_square_balanced_term_tree_synth_preset_d32/ex273_r80_square_balanced_term_tree_synth_preset_d32.evaluate.py.log,OK,1,not_run,751,46,34546,15078,18860,26301,0,0,0,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/candidates.csv,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex274,integer,ex274_r80_square_balanced_term_tree_synth_preset_d40,balanced_square_term_tree,unsigned_square_x_times_x,balanced adder tree over diagonal and doubled cross terms,each square cross term generated once before balanced source adds,shared square partial products with balanced source tree,synth_preset_d40,ex274|unsigned_square_x_times_x|balanced adder tree over diagonal and doubled cross terms|each square cross term generated once before balanced source adds|yosys_synth_preset_d40|abc_xf_official_evaluate|not_r26_wallace_or_bddtop_recut,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex274/verilog/ex274_r80_square_balanced_term_tree.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex274/aigs/ex274_r80_square_balanced_term_tree_synth_preset_d40.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex274/logs/ex274_r80_square_balanced_term_tree_synth_preset_d40.yosys.log,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex274/official_eval/ex274_r80_square_balanced_term_tree_synth_preset_d40/ex274_r80_square_balanced_term_tree_synth_preset_d40.evaluate.py.log,OK,1,not_run,966,61,58926,21630,25454,41370,0,0,0,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/candidates.csv,
80,frontend_source_parallel_round80_20260613_1915,sub-integer-front-r80,ex276,integer,ex276_r80_hi6_interval_wordmux_abc_g_aig,hi6_interval_wordmux,unsigned_floor_isqrt_10_to_5,hi6 bucket base root plus up to four shared local threshold corrections,one high bucket word drives all output bits with shared next-root thresholds,hi6 interval word mux with shared local ge predicates,abc_g_aig,ex276|unsigned_floor_isqrt_10_to_5|hi6 bucket base root plus up to four shared local threshold corrections|one high bucket word drives all output bits with shared next-root thresholds|yosys_abc_g_aig|abc_xf_official_evaluate|not_r26_prefix4_per_output_casebits,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex276/verilog/ex276_r80_hi6_interval_wordmux.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex276/aigs/ex276_r80_hi6_interval_wordmux_abc_g_aig.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex276/logs/ex276_r80_hi6_interval_wordmux_abc_g_aig.yosys.log,student/runs/integer/frontend_source_parallel_round80_20260613_1915/sub-integer-front-r80/ex276/official_eval/ex276_r80_hi6_interval_wordmux_abc_g_aig/ex276_r80_hi6_interval_wordmux_abc_g_aig.evaluate.py.log,OK,1,not_run,195,32,6240,632,900,1010,0,0,0,frontend/source-only candidate; no backend portfolio,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-integer-front-r80/candidates.csv,
round80,frontend_source_parallel_round80_20260613_1915,sub-unknown-large-r80,ex297,unknown,ex297_r80_pairsel_pairxor_lowhi_pairs_2_3_10_11,completed_unofficial_ex297_selected_output_mix,bounded selected-output cofactor source mix,pairxor low and high adjacent pairs over r73 pairsel current source,"reuse r73 pairsel base and r74 pairxor/celllocal exact source, selecting bits 2/3/10/11",two exact full-output sources with non-contiguous selected output groups,yosys_internal_abc_g_aig,ex297|round80_selected_output_cofactor_source_mix|ex297_r80_pairsel_pairxor_lowhi_pairs_2_3_10_11|pairxor_bits_2_3_10_11_over_r73_pairsel_current|yosys_internal_abc_g_aig|official_evaluate|completed_distinct_from_r78_midpair,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-large-r80/ex297/verilog/ex297_r80_pairsel_pairxor_lowhi_pairs_2_3_10_11.v,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-large-r80/ex297/aigs/ex297_r80_pairsel_pairxor_lowhi_pairs_2_3_10_11.aig,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-large-r80/ex297/logs/ex297_r80_pairsel_pairxor_lowhi_pairs_2_3_10_11.yosys.log,student/work/frontend_source_parallel_round80_20260613_1915/sub-unknown-large-r80/ex297/logs/ex297_r80_pairsel_pairxor_lowhi_pairs_2_3_10_11.evaluate.py.log,OK,1,not_run,26677,16,426832,225900,425024,425024,0,0,0,official evaluate.py OK; no backend portfolio or post-AIG remap,student/frontend_campaigns/campaigns/frontend_source_parallel_round80_20260613_1915/agent_shards/sub-unknown-large-r80/candidates.csv,
